Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%2095545134877d48a09bcad5f4791a2b2a.md), WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%20fc203b781ce04685959d8c54de428cda.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%205c90b72d60654b6dace144329076662c.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%20146392010dff497eb8ddf0b7af8fee60.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%20e874b440160344bc9603cae81c476f59.md)",Storage Score (Council%2023/Council%20Period%2017/Storage%20Score%20397a214058b0430fa24415c31f3981f2.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Content,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%20a166147f354541bba3624edacaf6d3c7.md), WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%2051f261b4bc8c4d34ba3090b51501baf9.md), WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%204e5299dfd9794de5bd70b2b101841b11.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%20458d6f9e3bab4549a3b704922e4f1d59.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%20e39519c3f3744495a42863087604001b.md)",Content Score (Council%2023/Council%20Period%2017/Content%20Score%2090dc2d956c17457ab4d4da63d5eb8274.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Distributors,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%20a39e8d5dfcfc4fbeb14ff9143aeff89a.md), WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%209fe1dbc94d5b4bd58ceed6c4f1bf5688.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%20f9ae469625ec4cb2ae4a31475abf4c9e.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%2005a5cd48fab84b01bbd0f2a7fdd9051f.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%20cbd7c023a472475ab446e18a7c8304b3.md)",Distributor Score (Council%2023/Council%20Period%2017/Distributor%20Score%20df59e5050c04432ea5f0f848bf50d6a1.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Builders,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%20083dbebbe64c4775b83daf001bd9ea54.md), WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%20f1ab722358a04df989f0ff4159d3ca6e.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%205c90b72d60654b6dace144329076662c.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%204274349ee6d94be1828de0b48b238677.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%20caf7f757885348a5852e67dcdc7b7457.md)",Builder Score (Council%2023/Council%20Period%2017/Builder%20Score%200a2f48ee46784a379341c5a839006802.md),"Composite Grade, General WG Score, Subscore",Not Completed
General WG Score,HR,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%20172f9b2d38a84b908f92a55b1ee99f90.md), WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%208660c5c91d6649028fc30b5515e353fd.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%20baa60d3f10564ff49ca253ed71278e2d.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%20d52001c9619145d4a46732dbd1f97c29.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%2009a4efd98ca4485d973c7cbcd336d33c.md)",HR Score (Council%2023/Council%20Period%2017/HR%20Score%20580b1d720c99440da33e9c6a559628e2.md),"Composite Grade, General WG Score",Not Completed
WG Period Plan,Content,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20316dca56505a4e7bb73ee550b76e3bc9.md),"Document, Forum Post, General WG Score, Plan, Proposal",Not Completed
Council Period Plan,Council,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),"Document, Forum Post, Grade, Master Score, Proposal",Not Completed
WG Period Plan,Distributors,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20f53e36ec9c304ee3a8af2889b0667de8.md),"Document, Forum Post, General WG Score, Grade, Proposal",Not Completed
WG Period Plan,HR,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2098231fe7639744ff924d622f5d28dd1f.md),"Document, Forum Post, General WG Score, Plan, Proposal",Not Completed
WG Period Plan,Marketing,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2036972e434a2f4cac9557bf51024cac77.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Period Plan,Builders,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%209fdd606b269f4e599ac51a0998b33614.md),"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",Not Completed
WG Period Plan,Forum,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20edbf8275049f43109753aef4533b3a7b.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Period Plan,Storage,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%205ca0e617cd334e10809c31442dcbd00a.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Summary,Builders,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%209fdd606b269f4e599ac51a0998b33614.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Not Completed
WG Summary,Content,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20316dca56505a4e7bb73ee550b76e3bc9.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Not Completed
WG Summary,Storage,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%205ca0e617cd334e10809c31442dcbd00a.md),"Document, Forum Post, General WG Score, Grade, Subscore",Not Completed
WG Summary,Distributors,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20f53e36ec9c304ee3a8af2889b0667de8.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Not Completed
WG Summary,Forum,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,"General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20edbf8275049f43109753aef4533b3a7b.md), General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2036972e434a2f4cac9557bf51024cac77.md)","Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Not Completed
WG Summary,HR,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2098231fe7639744ff924d622f5d28dd1f.md),"Document, Forum Post, General WG Score, Grade, Proposal, Summary",Not Completed
