Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2017/Council%20Period%2017/WG%20Summary%209bddb08fd1614ac2adb3f6cf6a000713.md), WG Period Plan (Council%2017/Council%20Period%2017/WG%20Period%20Plan%204db0a745160341a4a032c632552fbc32.md), WG Opportunities (Council%2017/Council%20Period%2017/WG%20Opportunities%20d582250d20f04e7d845c09fe90baf27c.md), Opening Score (Council%2017/Council%20Period%2017/Opening%20Score%209a278fb99239482b90a0004d3243634c.md), Bounty Score (Council%2017/Council%20Period%2017/Bounty%20Score%20d2fe9bf15f6244d887d2d8b342673b70.md)",Storage Score (Council%2017/Council%20Period%2017/Storage%20Score%20e15ca96343514b7fb2387dd319da8ea0.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Marketing,GENERAL_WG_SCORE,,,"WG Summary (Council%2017/Council%20Period%2017/WG%20Summary%201754bd7d75384453b1296438a4da09d2.md), WG Opportunities (Council%2017/Council%20Period%2017/WG%20Opportunities%20bd42d174dc9d43d4b9f4766fe638e251.md), Opening Score (Council%2017/Council%20Period%2017/Opening%20Score%20f52a60f7e25640518787f0f175e8da97.md), Bounty Score (Council%2017/Council%20Period%2017/Bounty%20Score%20850fe743160841beb014608210d03e89.md), WG Period Plan (Council%2017/Council%20Period%2017/WG%20Period%20Plan%2015e27497d75041848b0237d0608a21d4.md), WG Summary (Council%2017/Council%20Period%2017/WG%20Summary%2079e4ba4f489a42d78ed9bffa247a2689.md), WG Opportunities (Council%2017/Council%20Period%2017/WG%20Opportunities%201dd547dbbe174b848c6aa41cfb19f705.md), Bounty Score (Council%2017/Council%20Period%2017/Bounty%20Score%20ccb719e0cfd14ff395db2a72be57e4f4.md), Opening Score (Council%2017/Council%20Period%2017/Opening%20Score%20e10bce45bcd6462cb180c7de0e01d634.md)",Forum Score (Council%2017/Council%20Period%2017/Forum%20Score%20413b2ca88e654a518d9818dfe313a6b2.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Builders,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%2017/Council%20Period%2017/WG%20Period%20Plan%20ba4590ce177a43c3b0fd2f53a20d00bc.md), WG Summary (Council%2017/Council%20Period%2017/WG%20Summary%20fb9c720e60954cbf9342d15cac2e5224.md), WG Opportunities (Council%2017/Council%20Period%2017/WG%20Opportunities%20d582250d20f04e7d845c09fe90baf27c.md), Opening Score (Council%2017/Council%20Period%2017/Opening%20Score%20b5b95706844c44b49451c7dc5c997e4c.md), Bounty Score (Council%2017/Council%20Period%2017/Bounty%20Score%2012704dd99d1345efb131dea12fffe0ab.md)",Builder Score (Council%2017/Council%20Period%2017/Builder%20Score%20d129d8f0cbc8418cb7a52dd6fc7c6e17.md),"Composite Grade, General WG Score, Subscore",Not Completed
General WG Score,Forum,GENERAL_WG_SCORE,,,"WG Period Plan (Council%2017/Council%20Period%2017/WG%20Period%20Plan%205f785858f44b4c46b2d51ed9cd6f4519.md), WG Summary (Council%2017/Council%20Period%2017/WG%20Summary%201754bd7d75384453b1296438a4da09d2.md), WG Opportunities (Council%2017/Council%20Period%2017/WG%20Opportunities%20bd42d174dc9d43d4b9f4766fe638e251.md), Opening Score (Council%2017/Council%20Period%2017/Opening%20Score%20f52a60f7e25640518787f0f175e8da97.md), Bounty Score (Council%2017/Council%20Period%2017/Bounty%20Score%20850fe743160841beb014608210d03e89.md), WG Opportunities (Council%2017/Council%20Period%2017/WG%20Opportunities%201dd547dbbe174b848c6aa41cfb19f705.md), Bounty Score (Council%2017/Council%20Period%2017/Bounty%20Score%20ccb719e0cfd14ff395db2a72be57e4f4.md), Opening Score (Council%2017/Council%20Period%2017/Opening%20Score%20e10bce45bcd6462cb180c7de0e01d634.md)",Forum Score (Council%2017/Council%20Period%2017/Forum%20Score%20413b2ca88e654a518d9818dfe313a6b2.md),"Composite Grade, General WG Score",Not Completed
General WG Score,HR,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2017/Council%20Period%2017/WG%20Period%20Plan%207538db890e8d4c4ea7a15c9bbf26c77f.md), WG Summary (Council%2017/Council%20Period%2017/WG%20Summary%20d5a492fbc67544efaea660b2d5c9347d.md), WG Opportunities (Council%2017/Council%20Period%2017/WG%20Opportunities%2087fad87cd12f47198f6122a660c28f0a.md), Opening Score (Council%2017/Council%20Period%2017/Opening%20Score%20100037e7e8604e12bee6ff05281378e0.md), Bounty Score (Council%2017/Council%20Period%2017/Bounty%20Score%2056e363d2dfed46de91dfb8c4b74e9982.md)",HR Score (Council%2017/Council%20Period%2017/HR%20Score%20db2f8f0b7c834ec2b1502ee202697eac.md),"Composite Grade, General WG Score",Not Completed
WG Period Plan,Marketing,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%208c85c1f67da648ce96377c43d5279109.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Completed
WG Period Plan,Builders,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%209533f7c398a44d8e8765dafd13b7b3d4.md),"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",Completed
WG Period Plan,Distributors,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%203c84e13ff5434e9d888718159cc66588.md),"Document, Forum Post, General WG Score, Grade, Proposal",Completed
WG Period Plan,HR,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%20d2ffe76ce2ec4a488047272ee9d6a706.md),"Document, Forum Post, General WG Score, Plan, Proposal",Completed
Council Period Plan,Council,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%2017/Council%20Period%2017/Network%20Performance%20Score%207931bc831fa94a96a5ff1b373243c067.md),"Document, Forum Post, Grade, Master Score, Proposal",Completed
