"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"8,4",2494,4,"2,1"
"19,5",2300,4,"4,9"
"3,5",2456,4,"0,9"
"0,1",2307,2,"0,0"
"470,8",2233,12,"39,2"
"7,3",2515,4,"1,8"
"0,0",2610,2,"0,0"
"0,0",2237,2,"0,0"
"4,7",2383,4,"1,2"
"2580,5",2000,12,"215,0"
"5,8",2578,4,"1,4"
"533,0",2042,112,"4,8"
"154,8",2221,6,"25,8"
"2,9",2403,4,"0,7"
"53,6",2223,10,"5,4"
"6,4",2347,4,"1,6"
"1,7",2575,4,"0,4"
"22,6",2124,8,"2,8"
"8,1",2518,6,"1,3"
"1,0",2559,4,"0,2"
"8,8",2438,4,"2,2"
"189,6",2294,3,"63,2"
"3,5",2435,4,"0,9"
"0,1",2444,2,"0,0"
"3879,4",2171,42,"92,4"
"1973,5",2055,6,"328,9"
"7710,9",2098,128,"60,2"
"5,6",2239,2,"2,8"
"0,0",2179,0,#DIV/0!
"2,3",2393,4,"0,6"
"446,3",2122,4,"111,6"
"159,2",2282,22,"7,2"
"13,2",2534,6,"2,2"
"17,4",2539,4,"4,4"
"162,1",2316,3,"54,0"
"20,6",2583,4,"5,2"
"498,6",2135,8,"62,3"
"0,2",2018,2,"0,1"
"110,4",2030,4,"27,6"
"208,4",2057,22,"9,5"
"3,5",2436,4,"0,9"
"1,0",2364,4,"0,2"
"4,9",2423,4,"1,2"
"0,1",2218,2,"0,1"
"3058,9",2083,48,"63,7"
"24788,3",2148,60,"413,1"
"8659,4",2168,10,"865,9"
"21,7",2352,8,"2,7"
"4714,5",2189,80,"58,9"
"788,7",2192,8,"98,6"
"9,8",2546,4,"2,4"
"7,8",2432,4,"2,0"
"79,6",2034,17,"4,7"
"823,2",2133,8,"102,9"
"3,5",2377,4,"0,9"
"0,9",2594,4,"0,2"
"1480,1",2091,48,"30,8"
"73,4",2150,11,"6,7"
"15,5",2459,4,"3,9"
"4,2",2462,4,"1,0"
"5268,8",2060,55,"95,8"
"0,1",2019,2,"0,0"
"10,0",2397,4,"2,5"
"154,6",2027,15,"10,3"
"6,4",2394,4,"1,6"
"73,6",2553,12,"6,1"
"0,0",2281,0,#DIV/0!
"10,2",2551,4,"2,6"
"748,3",2177,14,"53,4"
"0,0",2256,0,#DIV/0!
"490,1",2317,4,"122,5"
"0,0",2615,0,#DIV/0!
"10,1",2428,4,"2,5"
"0,1",2285,2,"0,0"
"8,6",2544,4,"2,2"
"490,3",2217,8,"61,3"
"3994,9",2210,14,"285,3"
"50,0",2472,4,"12,5"
"327,6",2053,22,"14,9"
"12,4",2066,2,"6,2"
"0,0",2613,0,#DIV/0!
"762,4",2128,48,"15,9"
"0,0",2290,0,#DIV/0!
"19,0",2521,4,"4,8"
"6,7",2591,4,"1,7"
"6,3",2468,6,"1,1"
"3011,2",2275,4,"752,8"
"1,4",2439,4,"0,3"
"0,0",2235,0,#DIV/0!
"0,0",2204,0,#DIV/0!
"84,3",2240,4,"21,1"
"291,0",2230,44,"6,6"
"1,9",2484,6,"0,3"
"3,4",2362,4,"0,8"
"5345,2",2097,83,"64,4"
"0,0",2252,0,#DIV/0!
"10116,9",2092,243,"41,6"
"10,0",2251,2,"5,0"
"730,4",2023,8,"91,3"
"85,2",2174,4,"21,3"
"3,7",2495,4,"0,9"
"11,9",2465,4,"3,0"
"3,9",2587,4,"1,0"
"45,7",2574,4,"11,4"
"10,1",2528,4,"2,5"
"0,0",2201,0,#DIV/0!
"0,0",2268,0,#DIV/0!
"7,9",2508,4,"2,0"
"9416,4",2101,170,"55,4"
"5,2",2549,4,"1,3"
"22,0",2582,4,"5,5"
"5,1",2427,4,"1,3"
"3658,5",2103,54,"67,8"
"32119,9",2112,66,"486,7"
"2,0",2424,4,"0,5"
"0,0",2305,2,"0,0"
"0,9",2530,4,"0,2"
"2,6",2561,4,"0,6"
"1,6",2434,4,"0,4"
"1105,3",2044,74,"14,9"
"2,5",2380,4,"0,6"
"1,2",2476,4,"0,3"
"8980,2",2061,50,"179,6"
"809,3",2119,37,"21,9"
"6,5",2399,4,"1,6"
"9,0",2531,4,"2,3"
"2,0",2537,4,"0,5"
"76,9",2590,4,"19,2"
"6,0",2493,4,"1,5"
"3,4",2535,4,"0,8"
"2,5",2496,4,"0,6"
"2,3",2299,3,"0,8"
"8,3",2512,4,"2,1"
"22,9",2327,4,"5,7"
"1,3",2502,6,"0,2"
"0,0",2207,0,#DIV/0!
"0,1",2009,2,"0,0"
"1,6",2460,4,"0,4"
"790,7",2147,24,"32,9"
"506,6",2185,7,"72,4"
"2540,3",2161,18,"141,1"
"893,1",2200,16,"55,8"
"3024,3",2048,58,"52,1"
"4,9",2525,4,"1,2"
"33,0",2533,4,"8,3"
"199,8",2198,12,"16,6"
"16,8",2461,4,"4,2"
"39,7",2339,6,"6,6"
"14,8",2296,2,"7,4"
"5,3",2555,4,"1,3"
"15,7",2562,4,"3,9"
"0,1",2007,2,"0,0"
"1,1",2501,4,"0,3"
"278,3",2134,6,"46,4"
"1590,2",2075,126,"12,6"
"59,8",2167,4,"14,9"
"1624,2",2195,4,"406,1"
"5,2",2477,6,"0,9"
"6,0",2412,4,"1,5"
"4515,0",2109,48,"94,1"
"0,0",2628,0,#DIV/0!
"0,0",2601,2,"0,0"
"15,9",2568,4,"4,0"
"3898,2",2046,54,"72,2"
"8,4",2540,10,"0,8"
"19,2",2586,4,"4,8"
"27,7",2621,4,"6,9"
"7,4",2552,4,"1,9"
"0,0",2293,2,"0,0"
"40,4",2226,8,"5,1"
"0,0",2326,0,#DIV/0!
"13,8",2374,4,"3,4"
"39,7",2337,6,"6,6"
"9,7",2445,4,"2,4"
"989,0",2121,15,"65,9"
"1611,9",2140,38,"42,4"
"185,0",2602,22,"8,4"
"7,3",2216,2,"3,6"
"79,4",2265,12,"6,6"
"11,0",2321,4,"2,7"
"2118,7",2021,26,"81,5"
"0,0",2253,0,#DIV/0!
"6500,8",2082,99,"65,7"
"4,3",2431,4,"1,1"
"229,3",2166,4,"57,3"
"15224,1",2139,400,"38,1"
"307,8",2341,18,"17,1"
"0,0",2205,0,#DIV/0!
"26,7",2490,4,"6,7"
"55,1",2529,8,"6,9"
"0,8",2558,4,"0,2"
"6,5",2478,8,"0,8"
"3,1",2373,6,"0,5"
"2510,1",2020,144,"17,4"
"9,5",2498,10,"0,9"
"1,8",2414,4,"0,4"
"0,0",2184,1,"0,0"
"0,8",2596,4,"0,2"
"5,0",2363,4,"1,3"
"24,1",2557,8,"3,0"
"7,6",2457,4,"1,9"
"8,7",2560,4,"2,2"
"1,8",2556,4,"0,5"
"1721,5",2197,6,"286,9"
"13,5",2519,4,"3,4"
"73,1",2489,14,"5,2"
"135,3",2266,2,"67,6"
"132,9",2169,7,"19,0"
"523,9",2248,20,"26,2"
"157,9",2277,22,"7,2"
"543,5",2074,12,"45,3"
"2,0",2371,4,"0,5"
"46,3",2499,6,"7,7"
"0,0",2359,2,"0,0"
"1970,0",2245,60,"32,8"
"427,3",2220,22,"19,4"
"2,3",2367,4,"0,6"
"2,8",2485,4,"0,7"
"804,0",2254,42,"19,1"
"9,5",2410,4,"2,4"
"7,8",2488,4,"1,9"
"831,8",2203,124,"6,7"
"2058,6",2031,66,"31,2"
"3054,0",2107,107,"28,5"
"19,3",2536,4,"4,8"
"7,2",2433,4,"1,8"
"1499,2",2146,14,"107,1"
"58,3",2458,6,"9,7"
"400,8",2172,23,"17,4"
"13,5",2475,6,"2,3"
"8,2",2387,3,"2,7"
"0,1",2443,2,"0,0"
"443,3",2085,26,"17,1"
"51,8",2503,8,"6,5"
"0,1",2340,2,"0,0"
"3,2",2513,4,"0,8"
"2923,9",2249,80,"36,5"
"9347,0",2152,168,"55,6"
"11,3",2409,4,"2,8"
"13,2",2228,2,"6,6"
"64,5",2149,4,"16,1"
"60,8",2267,2,"30,4"
"790,7",2264,20,"39,5"
"17,0",2526,6,"2,8"
"11,7",2024,6,"2,0"
"1,6",2597,4,"0,4"
"0,5",2629,2,"0,2"
"43,4",2132,5,"8,7"
"2,5",2366,4,"0,6"
"9,2",2028,4,"2,3"
"10,5",2372,4,"2,6"
"3257,3",2324,16,"203,6"
"39,7",2334,6,"6,6"
"2141,7",2202,68,"31,5"
