Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2019/Council%20Period%2017/Builder%20Score%20e18ea83757e740d48d03c22829427897.md), Content Score (Council%2019/Council%20Period%2017/Content%20Score%201a936184f4eb42a4bcceb16d4eee331b.md), Distributor Score (Council%2019/Council%20Period%2017/Distributor%20Score%20dfff6ee367d64cbf9d0f8c24dffc424a.md), Storage Score (Council%2019/Council%20Period%2017/Storage%20Score%20c380557551ae497abf7eba1f35e5f4e0.md), HR Score (Council%2019/Council%20Period%2017/HR%20Score%20d461a7496128435781b4bba579ae6c47.md), Council Period Summary (Council%2019/Council%20Period%2017/Council%20Period%20Summary%200fee57c14c7147d5ba77749af0fceaee.md), Council Period Plan (Council%2019/Council%20Period%2017/Council%20Period%20Plan%209cb19e2bd47f4644b2821f4b002b9c2a.md), Lead Opportunities (Council%2019/Council%20Period%2017/Lead%20Opportunities%2048dd3ca5dd74421c85d967b2285c37be.md), Meeting score (Council%2019/Council%20Period%2017/Meeting%20score%203a02053822a64f5db4f4c686ee253ff9.md)",,"Composite Grade, Master Score, Overall Grade",Not Completed
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2019/Council%20Period%2017/Forum%20Report%205b000b5e82c844618f61edde9a40b0d4.md), General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%20b358362f341146c4a442e9a3989c7936.md), Moderation Score (Council%2019/Council%20Period%2017/Moderation%20Score%208029659a10d646d391b02197a8c87233.md), General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2072c000e89e634d0184d9ffc6998c2d14.md)",,"Composite Grade, Master Score",Not Completed
Builder Score,Builders,BUILDER_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2016d685191f14470880431e1e0f3bac24.md), Builders Report (Council%2019/Council%20Period%2017/Builders%20Report%20a5b7ae38dd4a4d4991fcf7446aff15a1.md), Testing (Council%2019/Council%20Period%2017/Testing%2056efd762457e4beaa8d962725545e61a.md), Pioneer Development (Council%2019/Council%20Period%2017/Pioneer%20Development%2048ee244e43b343e1a1c2ecfeb47767be.md), General Development (Council%2019/Council%20Period%2017/General%20Development%20c5b73db4e52a4674b178ce77313b4ae9.md)",Network Performance Score (Council%2019/Council%20Period%2017/Network%20Performance%20Score%20991b4d2a715d43ebab0d39e3e837c8ee.md),"Composite Grade, Master Score",Not Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2019/Council%20Period%2017/System%204c3951d4da95435a8105d563c2a00d71.md), General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2026a79abea8fd4969bf619fabe8c6c77f.md), Distributors Report (Council%2019/Council%20Period%2017/Distributors%20Report%20f782cf5143bc4fab8af524aaa42b86cd.md)",Network Performance Score (Council%2019/Council%20Period%2017/Network%20Performance%20Score%20991b4d2a715d43ebab0d39e3e837c8ee.md),"Composite Grade, Master Score",Not Completed
Content Score,Content,CONTENT_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%20b55a769269294bcabb8fa8d37bd138ce.md), Content Report (Council%2019/Council%20Period%2017/Content%20Report%20d295f53070d044ef9d65199285d2f30d.md), Featuring Score (Council%2019/Council%20Period%2017/Featuring%20Score%207c435581ac2a45d8a81acb852934fb4e.md), Moderation Score (Council%2019/Council%20Period%2017/Moderation%20Score%20aef71b93fcec4d3282d712e102a742ed.md), Logging does not occur (Council%2019/Council%20Period%2017/Logging%20does%20not%20occur%20aeb1d9495ef24881b4048a0b439acfd1.md), Featured Content Unplayable (Council%2019/Council%20Period%2017/Featured%20Content%20Unplayable%20b49f0f1f699b4032af928509c112469e.md), Failure to apply moderation rules (Council%2019/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%2000e81b759938452c9438cf9c188ad59a.md), Curation Testing Score (Council%2019/Council%20Period%2017/Curation%20Testing%20Score%20abcda9af17ea4caaa94b0824f42eab82.md)",Network Performance Score (Council%2019/Council%20Period%2017/Network%20Performance%20Score%20991b4d2a715d43ebab0d39e3e837c8ee.md),"Composite Grade, Master Score",Not Completed
HR Score,HR,HR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%20056379357dc74e34bedee4bd81ca0441.md), HR Report (Council%2019/Council%20Period%2017/HR%20Report%20edf1ee4ab9ce44edb162e51e501befbd.md), Response Time (Council%2019/Council%20Period%2017/Response%20Time%20ac7c1006c9744647a8c3837ef6659666.md), Person Logging Score (Council%2019/Council%20Period%2017/Person%20Logging%20Score%20e5cb3daadbc943ce8a4fb47627acfc81.md), Interaction Logging Score (Council%2019/Council%20Period%2017/Interaction%20Logging%20Score%207543fb8475b4471fa2213bbef4878393.md), Bounty Management Score (Council%2019/Council%20Period%2017/Bounty%20Management%20Score%20c536a7c2c0b24758abd6dc939e4bbfca.md)",Network Performance Score (Council%2019/Council%20Period%2017/Network%20Performance%20Score%20991b4d2a715d43ebab0d39e3e837c8ee.md),"Composite Grade, Master Score",Not Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Master Score,Not Completed
Storage Score,Storage,STORAGE_SCORE,,,"Uploads (Council%2019/Council%20Period%2017/Uploads%20c264692f75614b1fab1bae3cd60bbea3.md), General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2039b61166d99d4112aa54086f69f80222.md), System (Council%2019/Council%20Period%2017/System%2025ddd1cda81f46e591794433fcc91ed0.md), Storage Report (Council%2019/Council%20Period%2017/Storage%20Report%2096013fa8164f4e57ad1dbf2012f44cd1.md), Logging (Council%2019/Council%20Period%2017/Logging%20368b8070443c42aebf66c5d38ecfa034.md)",Network Performance Score (Council%2019/Council%20Period%2017/Network%20Performance%20Score%20991b4d2a715d43ebab0d39e3e837c8ee.md),"Composite Grade, Master Score",Not Completed
General WG Score,Forum,GENERAL_WG_SCORE,,,"WG Period Plan (Council%2019/Council%20Period%2017/WG%20Period%20Plan%20269a9b397e97466080b7ac58b2692dcf.md), WG Summary (Council%2019/Council%20Period%2017/WG%20Summary%20a0e873293eb347d59956d4f0cf37e4d0.md), WG Opportunities (Council%2019/Council%20Period%2017/WG%20Opportunities%20f24181e1055241d1992baf1f7e2c918e.md), Opening Score (Council%2019/Council%20Period%2017/Opening%20Score%202c515b62fa4347eb8c20789363882ed0.md), Bounty Score (Council%2019/Council%20Period%2017/Bounty%20Score%20454371cda0404fd9a4be3652bfc021e5.md), WG Opportunities (Council%2019/Council%20Period%2017/WG%20Opportunities%209951bed05fff47509f4ca31ffa1e06e8.md), Bounty Score (Council%2019/Council%20Period%2017/Bounty%20Score%202abdd464b3db41869a0f1e6b05124021.md), Opening Score (Council%2019/Council%20Period%2017/Opening%20Score%20872a65acdcd249149d8263e0afd5dae0.md)",Forum Score (Council%2019/Council%20Period%2017/Forum%20Score%20af959b9518cd4052a7811093f632214d.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2019/Council%20Period%2017/WG%20Summary%207c966abe40ae4a5c8107218e7bddd717.md), WG Period Plan (Council%2019/Council%20Period%2017/WG%20Period%20Plan%201eee999c29394edf8ecfa3b1eee95a4c.md), WG Opportunities (Council%2019/Council%20Period%2017/WG%20Opportunities%20adf302396557409aa06e4a3f2c0de713.md), Opening Score (Council%2019/Council%20Period%2017/Opening%20Score%208c1a101a39f84182b5de89cd911ac9bf.md), Bounty Score (Council%2019/Council%20Period%2017/Bounty%20Score%20d8f0a15b08a6401b8460850b42e14889.md)",Storage Score (Council%2019/Council%20Period%2017/Storage%20Score%20c380557551ae497abf7eba1f35e5f4e0.md),"Composite Grade, General WG Score",Not Completed
