Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,JSG Grading Status,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Score,Score Notes,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
WG Period Plan,"Document, Forum Post, Plan, Proposal",,,,,,,,https://dao.joystream.org/#/forum/thread/151,,,PLAN_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,"WORKING GROUP PLAN (https://www.notion.so/WORKING-GROUP-PLAN-506e9591bd6a43658a401b48dbc121a0?pvs=21) ",,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md),,,,,https://dao.joystream.org/#/proposals/preview/215,0.7,Late submission,,No,,891431,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md),,,,,,1,,,No,,,,,,,
Distributors Report,"Document, Forum Post, Grade, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/154?post=342,https://dao.joystream.org/#/forum/category/15,,REPORT_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Completed,,,,"Untitled (https://www.notion.so/3af3127c40b3410bb88bfc5da72ac6f5?pvs=21) ",,,Distributor Score (Council%209/Council%20Period%209/Distributor%20Score%20356fd26e79c746bfa5332f7e65ae7c52.md),,,,,,0.7,Forum post did not include markdown,Subscore,No,,934451,,,,,
Violation of Content Policy,Catastrophic Errors,,,,,,,,,,,,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,Completed,,,,,,,,,,,,,0,,,No,,,,,,,
General WG Score,Composite Grade,,,,,,,,,,,GENERAL_WG_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,Completed,,,,,,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),,,,,,0.36,,,No,,,,,"WG Opportunities (Council%209/Council%20Period%209/WG%20Opportunities%20522e4a46b384404ca2a8d356b685d024.md), WG Summary (Council%209/Council%20Period%209/WG%20Summary%2086d26d148666472f9fa68a684d0faf71.md), WG Period Plan (Council%209/Council%20Period%209/WG%20Period%20Plan%20a5ad35b585a748a2885bd5c11789c5ff.md), Opening Score (Council%209/Council%20Period%209/Opening%20Score%2081b6eee272c3437987321941256d759e.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%2076d88dd92e7348afa6ce6c744d19caa1.md)",,
WG Summary,"Document, Forum Post, Grade, Proposal, Subscore, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/168,,,SUMMARY_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md),,,,,,0.65,"No Proposal Found, On time",,No,,941094,,,,,
Storage Score,Composite Grade,,,,,,,,,,,STORAGE_SCORE,Storage,,,,Calculation,,,,,,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),,,,,,0.568,,Main Score,No,,,,,"Uploads (Council%209/Council%20Period%209/Uploads%205106182f6dcd4e94a30c4b173deb81f2.md), General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md), Maintenance (Council%209/Council%20Period%209/Maintenance%20770d38d9ce9c4b979f57d97cf19d7263.md), Storage Report (Council%209/Council%20Period%209/Storage%20Report%20458b3ceadde047048d2fe5c69348f995.md)",,
WG Period Plan,"Document, Forum Post, Grade, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/155,,,PLAN_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md),,,,,,0.6,"Late submission, No Proposal Found",,No,,900055,,,,,
Marketing Score,Composite Grade,,,,,,,,,,,MARKETER_SCORE,Marketing,,,,Calculation,,,,,,,,,,,,,,,,No,,,,,,,
General WG Score,Composite Grade,,,,,,,,,,,GENERAL_WG_SCORE,Storage,,,,Completed,,,,,,,Storage Score (Council%209/Council%20Period%209/Storage%20Score%20425b22fc33c342e9af5fc54c7e4691f1.md),,,,,,0.4,,Main Score,No,,,,,"WG Summary (Council%209/Council%20Period%209/WG%20Summary%2075731a78dbcc48f293fe6c9a074c38f7.md), WG Period Plan (Council%209/Council%20Period%209/WG%20Period%20Plan%20d72f223a32db4a34958a73521803edb2.md), WG Opportunities (Council%209/Council%20Period%209/WG%20Opportunities%20c9d359e2d98d44a798871c39d78433f9.md), Opening Score (Council%209/Council%20Period%209/Opening%20Score%20e0dbd56e08b54a5fa84d169e68aaa49f.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%2078622c72936e48e4b6cca2129cf9e2d9.md)",,
