Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,JSG Grading Status,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Score,Score Notes,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Hero Score,,,,,,,,,,,,HERO_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Completed,,,,,,,Featuring Score (Council%209/Council%20Period%209/Featuring%20Score%204dff73d7044f408b969e86936b02c842.md),,,,,,0,,,No,,,,,,,
Builder Score,"Composite Grade, Master Group Score",,,,,,,,,,,BUILDER_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,,Completed,,,,,,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),,,,,,0.64,,Main Score,No,,,,,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md), Builders Report (Council%209/Council%20Period%209/Builders%20Report%2079ec09b7db0f48e09d8f1f0186adaba3.md), Testing (Council%209/Council%20Period%209/Testing%20546f852920244c0a97ca240ff535d6b4.md), Pioneer Development (Council%209/Council%20Period%209/Pioneer%20Development%20c908a65d4c144fa68fe10150e39670da.md), General Development (Council%209/Council%20Period%209/General%20Development%203c407baa5a204b74867916a09295c44d.md)",,
Featured Content Unplayable,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,,Completed,,,,,,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),,,,,,0,,,No,,,,,,,
WG Period Plan,"Document, Forum Post, Grade",,,,,,,,https://dao.joystream.org/#/forum/thread/154,,,PLAN_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%201eb9c121a68f47ca9cc3720f887a4510.md),,,,,https://dao.joystream.org/#/proposals/preview/215,0.9,Late submission,Subscore,No,,899035,,,,,
Block time too low,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,Completed,,,,,,,,,,,,,0,,Subscore,No,,,,,,,
Logging does not occur,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,,Completed,,,,,,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),,,,,,0,,,No,,,,,,,
Council Period Plan,"Document, Forum Post, Grade, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/146?post=325,https://dao.joystream.org/#/forum/category/4,,PLAN_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Completed,,,,,,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),,,,,https://dao.joystream.org/#/proposals/preview/213,1,"Late submission, Proposal Approved",Main Score,No,,902261,,,,,
Council Period Parameters,,,,,,,,,,,,,JSG,,,,Completed,,,,,,,,,,,,https://dao.joystream.org/#/proposals/preview/209,,,,No,,875938,,,,,
Missing Judgement,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,,Completed,,,,,,,,,,,,,0,,,No,,,,,,,
General WG Score,Composite Grade,,,,,,,,,,,GENERAL_WG_SCORE,Forum,,,,Completed,,,,,,,Forum Score (Council%209/Council%20Period%209/Forum%20Score%20a6dd10bcefcb450b906a2e86311f88dd.md),,,,,,0.317,,,No,,,,,"WG Period Plan (Council%209/Council%20Period%209/WG%20Period%20Plan%20488976a7d0cf486fab8060457b89b587.md), WG Summary (Council%209/Council%20Period%209/WG%20Summary%20568901532654483aa6a46b90bdece765.md), WG Opportunities (Council%209/Council%20Period%209/WG%20Opportunities%20278259c9a86a484394c2b2ac8776f593.md), Opening Score (Council%209/Council%20Period%209/Opening%20Score%20dd1e91928a924e888221fe8c6ed79c00.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%20d61548926fa2442187c5251554007819.md)",,
WG Period Plan,"Document, Forum Post, Plan",,,,,,,,https://dao.joystream.org/#/forum/thread/150,,,PLAN_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md),,,,,https://dao.joystream.org/#/proposals/preview/215,0.9,Late submission,,No,,889586,,,,,
Logging Score,,,,,,,,,,,,LOGGING_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Completed,,,,,,,Featuring Score (Council%209/Council%20Period%209/Featuring%20Score%204dff73d7044f408b969e86936b02c842.md),,,,,,0,,,No,,,,,,,
General WG Score,Composite Grade,,,,,,,,,,,GENERAL_WG_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,Calculation,,,,,,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,,,,,0.627,,,No,,,,,"WG Period Plan (Council%209/Council%20Period%209/WG%20Period%20Plan%20458878b5e1564445baf5761fef240fef.md), WG Summary (Council%209/Council%20Period%209/WG%20Summary%20f3d21c1c0b5e4a11b5fcdefef7465543.md), WG Opportunities (Council%209/Council%20Period%209/WG%20Opportunities%20cd082735978d4482981d0aaa417e2e19.md), Opening Score (Council%209/Council%20Period%209/Opening%20Score%206617792777584f7ea83bb926489f0749.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%2074a0e73c800e4c3f9922e76d34f391f4.md)",,
Distributor Score,Composite Grade,,,,,,,,,,,DISTRIBUTOR_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,,Completed,,,,,,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),,,,,,0.444,,Main Score,No,,,,,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%201eb9c121a68f47ca9cc3720f887a4510.md), Thumbnails (Council%209/Council%20Period%209/Thumbnails%207bc6ec68d3574b0081bc5a46486bd06a.md), Distributors Report (Council%209/Council%20Period%209/Distributors%20Report%20bc09d9c42ce747f4971b642706189d53.md)",,
No available sources for data object,"Catastrophic Errors, Grade, Spot Check, Subscore",,,,,,,,,,,,Distributors,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,,Completed,,,,,,,,,,,,,0,,Subscore,No,,,,,,,
Council Period Summary,"Document, Forum Post, Grade, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/146?post=325,https://dao.joystream.org/#/forum/category/4,,SUMMARY_SCORE,Council,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Completed,,,,,,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),,,,,https://dao.joystream.org/#/proposals/preview/228,1,"Late submission, Proposal Approved",Main Score,No,,965550,,,,,
On chain Budget and Opening proposals without JOY equivalent,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,,Completed,,,,,,,,,,,,,0,,Subscore,No,,,,,,,
Lead Opportunities,Grade,,,,,,,,,,,LEAD_OPPORTUNITIES_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Completed,,,,,,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),,,,,,0.143,,Main Score,No,,,,,,,
Storage Report,"Document, Forum Post, Grade, Proposal, Report",,,,,,,,https://dao.joystream.org/#/forum/thread/164,https://dao.joystream.org/#/forum/category/13,,REPORT_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Completed,,,,"Storage WG Status Report 8 (https://www.notion.so/Storage-WG-Status-Report-8-bcd6ffb4bb414887b5f7ee8d0752bab2?pvs=21) ",,,Storage Score (Council%209/Council%20Period%209/Storage%20Score%20425b22fc33c342e9af5fc54c7e4691f1.md),,,,,,0.7,,Subscore,No,,,,,,,
Incorrect Reporting,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,,Completed,,,,,,,,,,,,,0,,Subscore,No,,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/167,https://dao.joystream.org/#/forum/category/11,,SUMMARY_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,"Report 23.05.2022-29.05.2022 (https://www.notion.so/Report-23-05-2022-29-05-2022-0cacd650c6564c16bf1e7fe78746f5d4?pvs=21) ",,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md),,,,,,0.1,"Incomplete (Did not fulfill all requirements), No Proposal Found",,No,,935505,,,,,
Forum Score,Composite Grade,,,,,,,,,,,FORUM_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,,Completed,,,,,,,,,,,,,0.327,,,No,,,,,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md), Forum Report (Council%209/Council%20Period%209/Forum%20Report%20ca84b7d3ecdb4486b02f52af79fadd55.md), Moderation Score (Council%209/Council%20Period%209/Moderation%20Score%20cd068a4c96234c09879352fc529aac80.md)",,
Featuring Score,,,,,,,,,,,,FEATURING_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,,Completed,,,,,,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),,,,,,0,,Subscore,No,,,,,"Logging Score (Council%209/Council%20Period%209/Logging%20Score%2085ccc9bf9360468da8324e3083c389e7.md), Hero Score (Council%209/Council%20Period%209/Hero%20Score%2043265cf6e392413a8dfc333f22e17949.md), Categories Score (Council%209/Council%20Period%209/Categories%20Score%2005752e9a328a428c99f60b82fee1800d.md)",,
WG Period Plan,"Document, Forum Post, Grade, Plan, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/47?post=303,https://dao.joystream.org/#/forum/thread/47,,PLAN_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md),,,,,,0.8,"No Proposal Found, On time",Subscore,No,,854281,,,,,
Upgrading non-Jsgesnesis runtime,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,,Completed,,,,,,,,,,,,,0,,Subscore,No,,,,,,,
Thumbnails,"Grade, Spot Check, Subscore",,,,,,,,,,,THUMBNAIL_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#thumbnail_score,,Completed,,,,,,,Distributor Score (Council%209/Council%20Period%209/Distributor%20Score%20356fd26e79c746bfa5332f7e65ae7c52.md),,,,,,1,,Subscore,No,,,,,,,
WG Period Plan,"Document, Forum Post, Grade, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/164?post=347,,,PLAN_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md),,,,,https://dao.joystream.org/#/proposals/preview/215,0.8,Late submission,Subscore,No,,945057,,,,,
Response Score,,,,,,,,,,,,RESPONSE_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Completed,,,,,,,Moderation Score (Council%209/Council%20Period%209/Moderation%20Score%20ad40d08b7c684ebf9379c7c3a1c87cc5.md),,,,,,0,,,No,,,,,,,
Total $tJOY exceeds tJOY_BUDGET,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,,Completed,,,,,,,,,,,,,0,,Subscore,No,,,,,,,
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,,Completed,,,,,,,,,,,,,0,,Subscore,No,,,,,,,
Network Performance Score,"Composite Grade, Overall Grade",,,,,,,,,,,NETWORK_PERFORMANCE_SCORE,Network,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,,Completed,,,,,,,,,,,,,0.596,,,No,,,,,"Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md), Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md), Distributor Score (Council%209/Council%20Period%209/Distributor%20Score%20356fd26e79c746bfa5332f7e65ae7c52.md), Storage Score (Council%209/Council%20Period%209/Storage%20Score%20425b22fc33c342e9af5fc54c7e4691f1.md), HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md), Council Period Summary (Council%209/Council%20Period%209/Council%20Period%20Summary%20a4ae32a037f04515a5eea9c7913265f6.md), Council Period Plan (Council%209/Council%20Period%209/Council%20Period%20Plan%206d85fa3992424ce4a54d230779cea34e.md), Lead Opportunities (Council%209/Council%20Period%209/Lead%20Opportunities%20f321df51cc7c4755917a054a237b5492.md), Meeting score (Council%209/Council%20Period%209/Meeting%20score%2011064a0731494d22bbc6f34418f3d8bd.md)",,
Meeting score,"Forum Post, Subscore",,,,,,,,,,,MEETING_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,,Completed,,,,,,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),,,,,,0.6,,Main Score,No,,,,,,,
Inadequate Report,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,,Completed,,,,,,,,,,,,,0,,,No,,,,,,,
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,TOTAL_BREACHES_OF_POLICY,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Completed,,,,,,,Moderation Score (Council%209/Council%20Period%209/Moderation%20Score%20ad40d08b7c684ebf9379c7c3a1c87cc5.md),,,,,,0,,,No,,,,,,,
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,,Completed,,,,,,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),,,,,,0,,,No,,,,,,,
Categories Score,,,,,,,,,,,,CATEGORIES_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Completed,,,,,,,Featuring Score (Council%209/Council%20Period%209/Featuring%20Score%204dff73d7044f408b969e86936b02c842.md),,,,,,,,,No,,,,,,,
Unwarranted deletion,Catastrophic Errors,,,,,,,,,,,,Forum,,,,Completed,,,,,,,,,,,,,0,,,No,,,,,,,
Member Faucet Empty,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,,Completed,,,,,,,,,,,,,0,,Subscore,No,,,,,,,
Moderation Score,,,,,,,,,,,,MODERATION_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,,Completed,,,,,,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),,,,,,0.182,,,No,,,,,"Response Score (Council%209/Council%20Period%209/Response%20Score%2017aa349466b649ae81600aee4664bfd2.md), Total Breaches of Policy (Council%209/Council%20Period%209/Total%20Breaches%20of%20Policy%20708defc211554e779ec574ee5b55a938.md)",,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,,,,,,,0.333,,Subscore,No,,,,,,,
General WG Score,Composite Grade,,,,,,,,,,,GENERAL_WG_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,Completed,,,,,,,Distributor Score (Council%209/Council%20Period%209/Distributor%20Score%20356fd26e79c746bfa5332f7e65ae7c52.md),,,,,,0.259,,Main Score,No,,,,,"WG Period Plan (Council%209/Council%20Period%209/WG%20Period%20Plan%20207388c6d0904b6296ab72d9508f0f40.md), WG Summary (Council%209/Council%20Period%209/WG%20Summary%20543f496da6604afb99a680eb7f9ef621.md), WG Opportunities (Council%209/Council%20Period%209/WG%20Opportunities%20662709110b7a48d0bd23c3fa3341f128.md), Opening Score (Council%209/Council%20Period%209/Opening%20Score%2023e81f9a5351474f992fc121dfb88be6.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%20714c969953a14176adeaef0932c368ce.md)",,
General WG Score,Composite Grade,,,,,,,,,,,GENERAL_WG_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,,Completed,,,,,,,Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),,,,,,0.54,,Subscore,No,,,,,"WG Period Plan (Council%209/Council%20Period%209/WG%20Period%20Plan%2067ac6fa99a1944febdbe214d69bf5d23.md), WG Summary (Council%209/Council%20Period%209/WG%20Summary%20296b2448096c423aa060aa6e8ca833da.md), WG Opportunities (Council%209/Council%20Period%209/WG%20Opportunities%20c9d359e2d98d44a798871c39d78433f9.md), Opening Score (Council%209/Council%20Period%209/Opening%20Score%20a52d9dd40b4b4dd484d888f996645645.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%20cc256c899182443ab84f94b3b94f7897.md)",,
Missed runtime upgrade,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,Completed,,,,,,,,,,,,,0,,Subscore,No,,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/154?post=342,,,SUMMARY_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%201eb9c121a68f47ca9cc3720f887a4510.md),,,,,,0,No Submission found (at all),Subscore,No,,934451,,,,,
WG Summary,"Document, Forum Post, Grade, Proposal, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/166,,,SUMMARY_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md),,,,,,0.9,"JSG Questions pending for submitted data/information, Late submission, No Proposal Found",Subscore,No,,959444,,,,,
