Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,0.596,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md), Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md), Distributor Score (Council%209/Council%20Period%209/Distributor%20Score%20356fd26e79c746bfa5332f7e65ae7c52.md), Storage Score (Council%209/Council%20Period%209/Storage%20Score%20425b22fc33c342e9af5fc54c7e4691f1.md), HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md), Council Period Summary (Council%209/Council%20Period%209/Council%20Period%20Summary%20a4ae32a037f04515a5eea9c7913265f6.md), Council Period Plan (Council%209/Council%20Period%209/Council%20Period%20Plan%206d85fa3992424ce4a54d230779cea34e.md), Lead Opportunities (Council%209/Council%20Period%209/Lead%20Opportunities%20f321df51cc7c4755917a054a237b5492.md), Meeting score (Council%209/Council%20Period%209/Meeting%20score%2011064a0731494d22bbc6f34418f3d8bd.md)",,"Composite Grade, Overall Grade",,,Completed
Forum Score,Forum,FORUM_SCORE,0.327,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md), Forum Report (Council%209/Council%20Period%209/Forum%20Report%20ca84b7d3ecdb4486b02f52af79fadd55.md), Moderation Score (Council%209/Council%20Period%209/Moderation%20Score%20cd068a4c96234c09879352fc529aac80.md)",,Composite Grade,,,Completed
Builder Score,Builders,BUILDER_SCORE,0.64,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md), Builders Report (Council%209/Council%20Period%209/Builders%20Report%2079ec09b7db0f48e09d8f1f0186adaba3.md), Testing (Council%209/Council%20Period%209/Testing%20546f852920244c0a97ca240ff535d6b4.md), Pioneer Development (Council%209/Council%20Period%209/Pioneer%20Development%20c908a65d4c144fa68fe10150e39670da.md), General Development (Council%209/Council%20Period%209/General%20Development%203c407baa5a204b74867916a09295c44d.md)",Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),"Composite Grade, Master Group Score",Main Score,,Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,0.444,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%201eb9c121a68f47ca9cc3720f887a4510.md), Thumbnails (Council%209/Council%20Period%209/Thumbnails%207bc6ec68d3574b0081bc5a46486bd06a.md), Distributors Report (Council%209/Council%20Period%209/Distributors%20Report%20bc09d9c42ce747f4971b642706189d53.md)",Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),Composite Grade,Main Score,,Completed
Content Score,Content,CONTENT_SCORE,0.18,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md), Content Report (Council%209/Council%20Period%209/Content%20Report%20b9c6250979c84674bcf99d4a6dedd310.md), Featuring Score (Council%209/Council%20Period%209/Featuring%20Score%204dff73d7044f408b969e86936b02c842.md), Moderation Score (Council%209/Council%20Period%209/Moderation%20Score%20ad40d08b7c684ebf9379c7c3a1c87cc5.md), Logging does not occur (Council%209/Council%20Period%209/Logging%20does%20not%20occur%204d5d2c82bfc94085a2b883a81959d93d.md), Featured Content Unplayable (Council%209/Council%20Period%209/Featured%20Content%20Unplayable%2009567747b2f84bd7a5a8cf4fbffceaf2.md), Failure to apply moderation rules (Council%209/Council%20Period%209/Failure%20to%20apply%20moderation%20rules%20967b1ced0b484f5d92906f07dd22427d.md)",Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),Composite Grade,,,Completed
HR Score,HR,HR_SCORE,0.837,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md), HR Report (Council%209/Council%20Period%209/HR%20Report%206b6247dffd7140cf9c52d08b6edad418.md), Response Time (Council%209/Council%20Period%209/Response%20Time%207ec89d437b6b44f9828c967aeedb41c5.md), Person Logging Score (Council%209/Council%20Period%209/Person%20Logging%20Score%207b8a0accb1ea4cb6bfec7279053a7c51.md), Interaction Logging Score (Council%209/Council%20Period%209/Interaction%20Logging%20Score%205d93d291c2f34b2cab25d03a4fb1c564.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%2018485e020ef3436da733c50b4cee67b3.md)",Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),Composite Grade,,,Calculation
Marketing Score,Marketing,MARKETER_SCORE,,,,,Composite Grade,,,Calculation
Storage Score,Storage,STORAGE_SCORE,0.568,,"Uploads (Council%209/Council%20Period%209/Uploads%205106182f6dcd4e94a30c4b173deb81f2.md), General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md), Maintenance (Council%209/Council%20Period%209/Maintenance%20770d38d9ce9c4b979f57d97cf19d7263.md), Storage Report (Council%209/Council%20Period%209/Storage%20Report%20458b3ceadde047048d2fe5c69348f995.md)",Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),Composite Grade,Main Score,,Calculation
General WG Score,Distributors,GENERAL_WG_SCORE,0.259,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%209/Council%20Period%209/WG%20Period%20Plan%20207388c6d0904b6296ab72d9508f0f40.md), WG Summary (Council%209/Council%20Period%209/WG%20Summary%20543f496da6604afb99a680eb7f9ef621.md), WG Opportunities (Council%209/Council%20Period%209/WG%20Opportunities%20662709110b7a48d0bd23c3fa3341f128.md), Opening Score (Council%209/Council%20Period%209/Opening%20Score%2023e81f9a5351474f992fc121dfb88be6.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%20714c969953a14176adeaef0932c368ce.md)",Distributor Score (Council%209/Council%20Period%209/Distributor%20Score%20356fd26e79c746bfa5332f7e65ae7c52.md),Composite Grade,Main Score,,Completed
General WG Score,Builders,GENERAL_WG_SCORE,0.54,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%209/Council%20Period%209/WG%20Period%20Plan%2067ac6fa99a1944febdbe214d69bf5d23.md), WG Summary (Council%209/Council%20Period%209/WG%20Summary%20296b2448096c423aa060aa6e8ca833da.md), WG Opportunities (Council%209/Council%20Period%209/WG%20Opportunities%20c9d359e2d98d44a798871c39d78433f9.md), Opening Score (Council%209/Council%20Period%209/Opening%20Score%20a52d9dd40b4b4dd484d888f996645645.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%20cc256c899182443ab84f94b3b94f7897.md)",Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),Composite Grade,Subscore,,Completed
