Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],JSG Grading Status
WG Opportunities,Builders,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,"Grade, Spot Check, Subscore",Subscore,,Not Completed
Thumbnails,Distributors,THUMBNAIL_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#thumbnail_score,,Distributor Score (Council%20Scoring%20Template/Distributor%20Score%208001afa9bc46453d9d96577079fcff8f.csv),"Grade, Spot Check, Subscore",Subscore,,Not Completed
Forum Report,Forum,REPORT_SCORE,,,,Forum Score (Council%20Scoring%20Template/Forum%20Score%207cede6a43e0d4889a18f264d87c77052.csv),"Document, Forum Post, Grade, Subscore",,,Not Completed
Content Report,Content,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Content Score (Council%20Scoring%20Template/Content%20Score%2049ef6ba036f84f85a96cc54a97e9fecb.csv),Forum Post,Subscore,,Not Completed
WG Period Plan,Content,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%206c5cd2a10f36420887b78c57acb64d4a.csv),"Document, Forum Post, Plan",,,Not Completed
WG Summary,Content,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%206c5cd2a10f36420887b78c57acb64d4a.csv),"Document, Forum Post, Grade, Subscore, Summary",,,Not Completed
Builders Report,Builders,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Builder Score (Council%20Scoring%20Template/Builder%20Score%20a944639ab3154a6c8820d3a520ac940c.csv),"Document, Forum Post, Grade, Subscore",Subscore,,Not Completed
Council Period Plan,Council,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%20Scoring%20Template/Network%20Performance%20Score%202462aee42afc42af974591cbd43b30b5.csv),"Document, Forum Post, Grade, Proposal, Subscore",Main Score,,Not Completed
WG Period Plan,Builders,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20a622abe47722405ea22accf74c2c666a.csv),"Document, Forum Post, Grade, Plan, Subscore",Subscore,,Not Completed
WG Summary,Distributors,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20d3446c9bdec640a7a9fc23ba5238e36e.csv),"Document, Forum Post, Grade, Subscore",Subscore,,Not Completed
WG Summary,Forum,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%2006470ec6d286431fa04a1ed2d57d39e3.csv),"Document, Forum Post, Grade, Subscore, Summary",,,Not Completed
WG Period Plan,HR,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%207f863eda017948639c9705f7b2fe5afd.csv),"Document, Forum Post, Plan",,,Not Completed
Storage Report,Storage,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Storage Score (Council%20Scoring%20Template/Storage%20Score%20dfc2866b23ed424a931819abc445d27c.csv),"Document, Forum Post, Grade",Subscore,,Not Completed
WG Summary,Builders,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20a622abe47722405ea22accf74c2c666a.csv),"Document, Forum Post, Grade, Subscore, Summary",Subscore,,Not Completed
WG Opportunities,Forum,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%2006470ec6d286431fa04a1ed2d57d39e3.csv),"Document, Forum Post, Grade",,,Not Completed
WG Period Plan,Distributors,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20d3446c9bdec640a7a9fc23ba5238e36e.csv),"Document, Forum Post, Grade",Subscore,,Not Completed
Meeting score,Council,MEETING_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,,,"Forum Post, Subscore",Main Score,,Not Completed
