Name,Agenda,Attendance,Date,Duration,Facilitator,Forum Thread,Moderator,Recording,Status,Tags,Transcript,Venue
Storage operations and Content Distribution Network,Storage operations and Content Distribution Network,"vikan
codefikeyz
0x2bc
igrex
mayortee
genius
spat_sochi","November 10, 2023",54mins,@Yasir,,Codefikeyz,N/A,Done,"Storage Operations, Training, Workshops",N/A,Community Voice 1 channel
23rd Council Candidates Fireside chat,,"Mayor Tee
Vikan
Klaudiusz
Tariqul
Chaos77
Leet_joy
Songoku
Spat_ Sochi
Yasir
Igrex
Eclipsingbinary","November 9, 2023",43mins,,,"@Codefikeyz ",N/A,Done,"Council, Council Candidates, Fireside Chat, Governance",N/A,Community Voice 1 channel
HR Interview Session for Community Moderator role,,"Marikjudo
Umarchike
Jemuel
Counsellor
Codefikeyz
Genius
Tomato
Hanzo Hazashi
Spat_sochi","January 17, 2024",1 hour+,Codefikeyz,https://pioneerapp.xyz/#/working-groups/openings/operationsWorkingGroupBeta-21,Codefikeyz,https://drive.google.com/file/d/1b5p5yw72Q2CvbypJwk4ZUI7QgVLhXbOt/view?usp=drive_link,Done,"Human Resource, Interview, Working Groups",N/A,Voice 1 channel
NFTs on Joystream: Minting and Earning,,"Codefikeyz
Eclipsingbinary
Spat_sochi
Songoku
MayorTee
Pandaprime
Mikael
Tariqul","November 17, 2023",54mins,Eclipsingbinary,,Codefikeyz,https://drive.google.com/file/d/10HIG-6AZTPZi76JCweH2d9GGbn7J9ykL/view?usp=drive_link,Done,"Community Engagement, NFT, Training, Workshops",N/A,Stage Channel
YouTube Partner Program Rewards and Content Evaluation,,,"November 18, 2023",39mins,Igrex,,Codefikeyz,https://drive.google.com/file/d/1b5p5yw72Q2CvbypJwk4ZUI7QgVLhXbOt/view?usp=drive_link,Done,"Community Engagement, Workshops, YPP",N/A,Stage Channel
