OKRs,No,Score,Status,Tasks
,3,60,Done,"Archive inactive, closed or concluded threads"
,,300,Null,Total
,4,60,Done,Transfer major announcements from Twitter to forum
,5,60,Done,Write summary of pre-proposals with open questions for stale threads.
,2,60,Done,Review forum threads/posts and moderate if necessary
,1,60,Done,Create needed new categories/ sub categories on the forum
