OKRs,No,Tasks,Status,Score
,1,Create needed new categories/ sub categories on the forum,Done,60
,2,Review forum threads/posts and moderate if necessary,Done,60
,3,"Archive inactive, closed or concluded threads",Done,60
,4,Transfer major announcements from Twitter to forum,Done,60
,5,Write summary of pre-proposals with open questions for stale threads.,Done,60
,,Total,Null,300
