Property,Downloaded,Deleted,Duration,Video file size (mb),Cars and Vehicles,Comedy,Education,Entertainment,Howto & Style,Film and animation,Games,Music,News and politics,People and blogs,Pets and animals,Instructions and style,Science and technology,Sports,Travel and events,Nonprofit organizations and activism,Created By,Date,Status
09.05.2022,2,,890,1143624562,,,1,,,1,,,,,,,,,,,Kira_skipper,,
10.05.2022,17,,4698,1233561071,,,10,4,,,,,,2,,,1,,,,Kira_skipper,,
11.05.2022,7,,6376,1006822628,,,1,2,,2,,1,,,,,,,1,,Kira_skipper,,
12.05.2022,5,,4898,400758051,,,,,,,,,,,,,,,,,Kira_skipper,,
13.05.2022,7,,4861,1054664686,,,,,,,,,,,,,,,,,Kira_skipper,,
14.05.2022,9,,2206,284037294,,,,,,,,,,,,,,,,,Kira_skipper,,
15.05.2022,1,,6,4448966,,,,,,2,,,,,,,,,,,Kira_skipper,,
TOTAL:,48,1(dublicate),23935,5127917258,,,,,,,,,,,,,,,,,Kira_skipper,,
