Property,Hours of Work
Worker ID 13 (plycho),2.5
Worker ID 2 (alexznet),n/a
Worker ID 3 (maxlevush),n/a
Worker ID 1 (joystreamstats),0
Worker ID 11 (sieemma),2.5
Worker ID 10 (razumv),2
Worker ID 5 (GodsHunter),n/a
Worker ID 0 - Lead (0x2bc),13
Worker ID 8 (mmx1916),2
Worker ID 4 (l1dev),1
Worker ID 7 - Deputy Lead (yyagi),13
Worker ID 15 (kalpacki),5
Worker ID 14 (abramaria_),1.5
Worker ID 9 (Craci_BwareLabs),2.1
