Task name,Assignee,Due,GitHub Pull Requests,Governance Status,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID,URL
June 25,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-165,
July 2,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,In progress,,,,GEN-175,
June 18,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-168,
June 11,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-163,
May 28,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-158,
March 26,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-124,
April 2,leet_joy,,,Not started,,Low,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-129,
April 9,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-142,
April 16,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-148,
April 30,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-151,
May 7,leet_joy,,,Not started,,,Makreting Meetings (Makreting%20Meetings%20efdbf6a18e454373a1501593321046aa.md),,Done,,,,GEN-154,
