Name,Description,channels,role
What’s new?,Just want to see what new stuff is happening?,"DISCUSSION, GETTING STARTED, GLOBAL, announcements",none
I am a content creator,If you're a video maker then come and say hi!,"DISCUSSION, GETTING STARTED, GLOBAL, gleev, l1media-support, nfts, ypp-support",creators
Opportunities and openings for work,Looking to work for the DAO or to run nodes or servers?,"DISCUSSION, GLOBAL, builders, distribution, opportunities-and-openings, storage-provider, validator",aspiring earner
I'm interested in partnerships and collaborations,This will direct you to our marketing working group,"DISCUSSION, GETTING STARTED, GLOBAL, marketing",none
I want everything!,This will let you see every channel! There are a lot!,"DAO, DISCUSSION, GETTING STARTED, GLOBAL, TARGETED ANNOUNCEMENTS, WORK",none
