Name,Parent item,Sub-item,Tags,Text,The task is complete when:
Links,Resource Pages (Discord%20Onboarding%20Flow/4%20Server%20Guide/Resource%20Pages%20b385a3567d5d4c429b6ecb2261c3d10d.md),,,,
Read the rules,New Member To Do’s (Discord%20Onboarding%20Flow/4%20Server%20Guide/New%20Member%20To%20Do%E2%80%99s%20a1849d42b56647688de5fb47da32db1b.md),,rules,,
Check out our recent announcements,New Member To Do’s (Discord%20Onboarding%20Flow/4%20Server%20Guide/New%20Member%20To%20Do%E2%80%99s%20a1849d42b56647688de5fb47da32db1b.md),,announcements,,Member visits the channel
Welcome Sign,,,tomato_js,Welcome [@username] to the official Joystream Discord server. Whether you're a new user or someone already familiar with the project feel free to join us and get involved!,
Introduce yourself!,New Member To Do’s (Discord%20Onboarding%20Flow/4%20Server%20Guide/New%20Member%20To%20Do%E2%80%99s%20a1849d42b56647688de5fb47da32db1b.md),,start-here,,member posts a message
Scam-awareness,Resource Pages (Discord%20Onboarding%20Flow/4%20Server%20Guide/Resource%20Pages%20b385a3567d5d4c429b6ecb2261c3d10d.md),,,,
New Member To Do’s,,"Introduce yourself! (Discord%20Onboarding%20Flow/4%20Server%20Guide/Introduce%20yourself!%2073afe91906b8481b999a33b8a6bb8e40.md), Check out our recent announcements (Discord%20Onboarding%20Flow/4%20Server%20Guide/Check%20out%20our%20recent%20announcements%2048eb7d6d3ce94f2cb648fdb2dfac80fc.md), Join the general discussion chat (Discord%20Onboarding%20Flow/4%20Server%20Guide/Join%20the%20general%20discussion%20chat%20cb3767d2bfce44579900af3dfebf14fd.md), Read the rules (Discord%20Onboarding%20Flow/4%20Server%20Guide/Read%20the%20rules%2040107fcd9ae240ffb74cf2a62dca5c03.md)",,,
Resource Pages,,"Links (Discord%20Onboarding%20Flow/4%20Server%20Guide/Links%200b30f59ee7ec4797a4dc641dbb8a023a.md), Scam-awareness (Discord%20Onboarding%20Flow/4%20Server%20Guide/Scam-awareness%2076a4ada9d6504f8f888a970d3c793470.md)",,,
Join the general discussion chat,New Member To Do’s (Discord%20Onboarding%20Flow/4%20Server%20Guide/New%20Member%20To%20Do%E2%80%99s%20a1849d42b56647688de5fb47da32db1b.md),,general,,member posts a message
