"size, MB",createdAt,id,size,storageBagId
"21,6",01.05.2022,14029,22650803,2341
"0,0",03.05.2022,14120,31314,2071
"0,0",03.05.2022,14094,17522,2575
"1,6",03.05.2022,14093,1649878,2575
"0,0",03.05.2022,14091,8048,2575
"21,6",01.05.2022,14037,22650803,2341
"0,0",01.05.2022,14032,37082,2341
"0,0",06.05.2022,14183,6862,2593
"0,0",06.05.2022,14182,15832,2592
"3,8",03.05.2022,14119,4011299,2071
