"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"2141,7",2202,68,"31,5"
"79,6",2034,17,"4,7"
"470,8",2233,12,"39,2"
"4285,4",2100,139,"30,8"
"174,4",2123,6,"29,1"
"4768,7",2049,94,"50,7"
"0,1",2019,2,"0,0"
"1382,6",2110,40,"34,6"
"230,5",2038,6,"38,4"
"26,5",2229,4,"6,6"
"2,6",2182,6,"0,4"
"184,1",2067,4,"46,0"
"2923,9",2249,80,"36,5"
"0,0",2253,0,#DIV/0!
"443,3",2085,26,"17,1"
"0,1",2005,2,"0,0"
"0,0",2290,0,#DIV/0!
"60,8",2267,2,"30,4"
"16899,0",2039,74,"228,4"
"280,4",2258,12,"23,4"
"474,0",2323,12,"39,5"
"0,0",2207,0,#DIV/0!
"0,1",2017,2,"0,1"
"1706,6",2093,16,"106,7"
"23,9",2302,6,"4,0"
"158,0",2099,6,"26,3"
"291,0",2230,44,"6,6"
"5185,7",2088,130,"39,9"
"804,0",2254,42,"19,1"
"4972,8",2108,43,"115,6"
"278,3",2134,6,"46,4"
"0,0",2242,2,"0,0"
"1611,9",2140,38,"42,4"
"208,4",2057,22,"9,5"
"0,0",2002,2,"0,0"
"1126,2",2026,68,"16,6"
"21364,8",2094,44,"485,6"
"8,6",2319,4,"2,2"
"763,2",2324,4,"190,8"
"43,4",2132,5,"8,7"
"543,5",2074,12,"45,3"
"6207,8",2199,174,"35,7"
"730,4",2023,8,"91,3"
"675,5",2200,14,"48,3"
"40,4",2226,8,"5,1"
"823,2",2133,8,"102,9"
"0,0",2204,0,#DIV/0!
"66,1",2244,10,"6,6"
"1204,1",2315,4,"301,0"
"1014,8",2064,60,"16,9"
"44,5",2106,5,"8,9"
"0,0",2205,0,#DIV/0!
"6,1",2297,3,"2,0"
"271,7",2183,7,"38,8"
"199,8",2198,12,"16,6"
"2226,6",2081,41,"54,3"
"19746,2",2127,354,"55,8"
"27,0",2025,8,"3,4"
"129,6",2187,6,"21,6"
"7513,8",2104,112,"67,1"
"84,3",2240,4,"21,1"
"5724,6",2096,126,"45,4"
"790,7",2147,24,"32,9"
"0,0",2291,1,"0,0"
"977,8",2113,11,"88,9"
