Name,Member ID,Reward,Worker ID
yyagi,3098,12.0000 JOY,7
l1dev,515,12.0000 JOY,4
mmx1916,3085,12.0000 JOY,8
joystreamstats,1305,12.0000 JOY,1
alexznet,2574,12.0000 JOY,2
godshunter,1541,12.0000 JOY,5
0x2bc,2098,15.0000 JOY,0
maxlevush,2130,12.0000 JOY,3
