Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],Proposal Required?,Score Status
General WG Score,Distributors,GENERAL_WG_SCORE,0.144,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%207241843a3f954573a193c500791c1d40.md), WG Summary (Council%206/Council%20Period%206/WG%20Summary%20aa861084435b42eebadb13a0886e3a93.md), WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%20ee54c95f56f24b0e9778d4aaf3d16c27.md)",Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),Composite Grade,Main Score,,,Ready for review
Distributor Score,Distributors,DISTRIBUTOR_SCORE,0.609,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"Distributors Report (Council%206/Council%20Period%206/Distributors%20Report%208618f73fda00416383f9103effc8cd8b.md), General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%207b052f9c6c404526a0fd70a7b0f34877.md), Thumbnails (Council%206/Council%20Period%206/Thumbnails%2040b496bf22c740c1bfa1828c67a7b2b5.md), Research (Council%206/Council%20Period%206/Research%20f1148177ee474cc4994ab65abe4b7f5f.md), Service score (Council%206/Council%20Period%206/Service%20score%20c706e5a98e6c43c0b75f8ff1375b4177.md)",Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),Composite Grade,Main Score,,,Ready for review
General WG Score,Storage,GENERAL_WG_SCORE,0.144,,"WG Summary (Council%206/Council%20Period%206/WG%20Summary%201906dee7d5214c299f1c9e22e349f446.md), WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%200e58076498024e42b34a83c429eccc6b.md), WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%20eee5b6fa12184c52b7b2cedae24af87a.md)",Storage Score (Council%206/Council%20Period%206/Storage%20Score%2081b017cd1afa4f8b9ceebde3f66d7d6a.md),Composite Grade,Main Score,,,Ready for review
General WG Score,Builders,GENERAL_WG_SCORE,0.967,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%2016ae432bac6a4db7ab0d13f0df9858b6.md), WG Summary (Council%206/Council%20Period%206/WG%20Summary%209415fffb9aa14c7e8e939ea801aaca3d.md), WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%20eee5b6fa12184c52b7b2cedae24af87a.md)",Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),Composite Grade,,,,Ready for review
General WG Score,HR,GENERAL_WG_SCORE,0.933,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%202443e48a1b3e4bdd8b4509ec2dd59409.md), WG Summary (Council%206/Council%20Period%206/WG%20Summary%20f4deab3bfe264de9a1f85cf620641610.md), WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%20fadd7728fe974ba686b4b25fdb5de384.md)",HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),Composite Grade,,,,Ready for review
Marketing Score,Marketing,MARKETER_SCORE,0,,,,Composite Grade,,,,Ready for review
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%2075ed452e94134129ab3efe4fe38feb3b.md), Forum Report (Council%206/Council%20Period%206/Forum%20Report%205dbb45c51158432988f99f691133be3b.md), Moderation Score (Council%206/Council%20Period%206/Moderation%20Score%2054fad0a41b13425392efa84f1f5a3d05.md), Notification Score (Council%206/Council%20Period%206/Notification%20Score%207cdcd49de562418698ac45154ad1a850.md)",,Composite Grade,,,,Ready for review
Content Score,Content,CONTENT_SCORE,0.188,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%20941ec7ffee524ac9b25a6b23fc214473.md), Content Report (Council%206/Council%20Period%206/Content%20Report%209a4aecf26fd84c2ab47901fe04b7e109.md), Featuring Score (Council%206/Council%20Period%206/Featuring%20Score%20e5fdb9760821428b9d22101f632e5a00.md), Moderation Score (Council%206/Council%20Period%206/Moderation%20Score%20ab9972a0b74d41a38deb45c4f134540f.md), Logging does not occur (Council%206/Council%20Period%206/Logging%20does%20not%20occur%206147698f7fa24147a3f1a059050e4a8a.md), Featured Content Unplayable (Council%206/Council%20Period%206/Featured%20Content%20Unplayable%2070eed3a4a1724ab181799138f8de6ef2.md), Failure to apply moderation rules (Council%206/Council%20Period%206/Failure%20to%20apply%20moderation%20rules%20d4266bf9b2774306b675dd75b0fb08b4.md)",Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),Composite Grade,,,,Ready for review
Storage Score,Storage,STORAGE_SCORE,0.502,,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206b48105ef7354c25bedd5816712f009c.md), Storage Report (Council%206/Council%20Period%206/Storage%20Report%206a964d62ac534b29b40fb8b681ab38b9.md), Maintenance (Council%206/Council%20Period%206/Maintenance%20ecb1b6133a894d519bbb2043a859367b.md), Uploads (Council%206/Council%20Period%206/Uploads%20beb9a063f77349ad8177cdb4d5fabccb.md), Research (Council%206/Council%20Period%206/Research%20ed26b8a330bc4fbdb6af88162c2d9328.md)",Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),Composite Grade,Main Score,,,Ready for review
HR Score,HR,HR_SCORE,0.83,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%200b306de549b5431e9ce42d7d2adf1e7d.md), HR Report (Council%206/Council%20Period%206/HR%20Report%20b9d30dff11ed46cd9786dddaa54e6060.md), Response Time (Council%206/Council%20Period%206/Response%20Time%2097533313f1df4fbb89676fd625038620.md), Person Logging Score (Council%206/Council%20Period%206/Person%20Logging%20Score%202ff08aa15d1c48a59cc38c4ae9f34fb1.md), Interaction Logging Score (Council%206/Council%20Period%206/Interaction%20Logging%20Score%20d231b6253006408dbe942a81af91c79f.md), Bounty Score (Council%206/Council%20Period%206/Bounty%20Score%20323597a8b9a441a69589cde055d90a7b.md)",Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),Composite Grade,,,,Ready for review
