Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],Proposal Required?,Score Status
WG Summary,Forum,SUMMARY_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%2075ed452e94134129ab3efe4fe38feb3b.md),"Document, Forum Post, Grade, Subscore",,651600,,Ready for review
Builders Report,Builders,REPORT_SCORE,0.95,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),"Document, Forum Post, Grade, Subscore",,651600,,Ready for review
Council Period Plan,Council,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),"Document, Forum Post, Grade, Proposal, Subscore",Main Score,571200,Yes,Ready for review
WG Period Plan,Content,PLAN_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%20941ec7ffee524ac9b25a6b23fc214473.md),Forum Post,,571200,,Ready for review
WG Period Plan,Builders,PLAN_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206caa3f7d533344aeb72a5c71c830c1d1.md),"Document, Forum Post, Grade, Subscore",Subscore,571200,,Ready for review
Council Handover/Minutes,Council,HANDOVER_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,,,"Forum Post, Subscore",Main Score,,,Ready for review
Council Period Summary,Council,SUMMARY_SCORE,1,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),"Document, Forum Post, Grade, Proposal, Subscore",Main Score,651600,,Ready for review
Distributors Report,Distributors,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),"Document, Forum Post, Grade, Subscore",Main Score,651600,,Ready for review
WG Summary,HR,SUMMARY_SCORE,0.7,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%200b306de549b5431e9ce42d7d2adf1e7d.md),"Document, Forum Post, Grade",Subscore,651600,No,Ready for review
WG Summary,Storage,SUMMARY_SCORE,0.1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206b48105ef7354c25bedd5816712f009c.md),"Document, Forum Post, Grade, Subscore",Subscore,651600,,Ready for review
Default Logging,Storage,PERFORMANCE_LOGGING,0,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#research_score,,Research (Council%206/Council%20Period%206/Research%20ed26b8a330bc4fbdb6af88162c2d9328.md),"Document, Grade",Subscore,,,Ready for review
Performance Logging,Distributors,PERFORMANCE_LOGGING,0,,,Research (Council%206/Council%20Period%206/Research%20f1148177ee474cc4994ab65abe4b7f5f.md),"Document, Grade",Subscore,,,Ready for review
Elastic Logging,Storage,ELASTIC_LOGGING,0,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#research_score,,Research (Council%206/Council%20Period%206/Research%20ed26b8a330bc4fbdb6af88162c2d9328.md),"Document, Grade",Subscore,,,Ready for review
WG Period Plan,Storage,PLAN_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206b48105ef7354c25bedd5816712f009c.md),"Document, Forum Post, Grade, Subscore",Subscore,571200,No,Ready for review
Elastic Logging,Distributors,ELASTIC_LOGGING,0,,,Research (Council%206/Council%20Period%206/Research%20f1148177ee474cc4994ab65abe4b7f5f.md),"Document, Grade",Subscore,,,Ready for review
