Id,Title,Language,Chanel name,Owner,Duration,Size,Category id,Category,License code,Original License,Original Link,Create,Update,URL,License,Curator,Date,Comment,NFT,Mark it [!] if video is good! (Interesting/Quality),If the download speed is slow when viewed / in seconds.
26847,JS_GL2,en,onlyMoments,ohnrne,15,4979745,8,People & Blogs,1002,Original video for Joystream,-,"June 8, 2022 8:09 PM (GMT+1)","June 8, 2022 8:09 PM (GMT+1)",https://play.joystream.org/video/26847,CC0,@spat_sochi,"June 8, 2022",,,,
26849,Exploring Together Performative Metabolism!,en,InfiniteImaginarium,infinteimaginarium,2716,1723508428,10,Entertainment,1002,standart YouTube license,https://www.youtube.com/watch?v=PQ2FjjaYQ6c,"June 8, 2022 9:33 PM (GMT+1)","June 8, 2022 9:33 PM (GMT+1)",https://play.joystream.org/video/26849,CC0,@spat_sochi,"June 8, 2022",original video; Author verified,,,
26850,The Gamification Of Minds,en,TheMindsUnderground,infinteimaginarium,1793,399719750,10,Entertainment,1002,standart YouTube license,https://www.youtube.com/watch?v=tb6mWCIg1eI,"June 8, 2022 10:49 PM (GMT+1)","June 8, 2022 10:49 PM (GMT+1)",https://play.joystream.org/video/26850,CC0,@spat_sochi,"June 8, 2022",original video; Author verified,,!,
26848,Че По Нодам #27 | CryptoLodes.,ru,CryptoLodes.,cryptolodes,3355,395361465,14,Science & Technology,1002,standart YouTube license,https://www.youtube.com/watch?v=c3S2zjNfpDk,"June 8, 2022 8:23 PM (GMT+1)","June 8, 2022 8:23 PM (GMT+1)",https://play.joystream.org/video/26848,CC0,@spat_sochi,"June 8, 2022",original video; Author verified,,!,
26852,test1,en,Klaudiusz test channel,klaudiusz,13,6955284,7,Gaming,1002,original video,-,"June 9, 2022 10:09 AM (GMT+1)","June 9, 2022 10:09 AM (GMT+1)",https://play.joystream.org/video/26852,CC0,@spat_sochi,"June 9, 2022",,,,
26851,Huevos Rancheros,es,Las Recetas del Rancho,delranchorecipes,119,80630344,12,Howto & Style,1007,original video,-,"June 9, 2022 1:03 AM (GMT+1)","June 9, 2022 1:03 AM (GMT+1)",https://play.joystream.org/video/26851,CC_BY_NC_SA,@spat_sochi,"June 9, 2022",,!,!,
26853,We Can All Have This Infinite Game,en,SatoriD,infinteimaginarium,372,249712619,10,Entertainment,1002,standart YouTube license,https://www.youtube.com/watch?v=oWi4VZGBObA,"June 9, 2022 5:43 PM (GMT+1)","June 9, 2022 5:43 PM (GMT+1)",https://play.joystream.org/video/26853,CC0,@spat_sochi,"June 9, 2022",original video,,!,
26859,How to Put Comments in Joystream Videos (New Feature),en,Songoku Channel,songoku,47,18937174,12,Howto & Style,1002,Original video for Joystream,-,"June 10, 2022 8:23 PM (GMT+1)","June 10, 2022 8:23 PM (GMT+1)",https://play.joystream.org/video/26859,CC0,@spat_sochi,"June 10, 2022",,,!,
26854,Northern Lights  Aurora,en,ferdikesh_studio,ferdikesh_studio,18,2934045,6,Travel & Events,1002,original video,-,"June 10, 2022 6:55 PM (GMT+1)","June 10, 2022 6:55 PM (GMT+1)",https://play.joystream.org/video/26854,CC0,@spat_sochi,"June 10, 2022",,,,
26857,Sea of Clouds,en,ferdikesh_studio,ferdikesh_studio,53,9720724,6,Travel & Events,1002,original video,-,"June 10, 2022 7:05 PM (GMT+1)","June 10, 2022 7:05 PM (GMT+1)",https://play.joystream.org/video/26857,CC0,@spat_sochi,"June 10, 2022",,,,
26856,Ink in the Water,en,ferdikesh_studio,ferdikesh_studio,59,17777970,14,Science & Technology,1002,original video,-,"June 10, 2022 7:01 PM (GMT+1)","June 10, 2022 7:01 PM (GMT+1)",https://play.joystream.org/video/26856,CC0,@spat_sochi,"June 10, 2022",,!,!,
26858,Red Eden,en,ferdikesh_studio,ferdikesh_studio,53,20094542,6,Travel & Events,1002,original video,-,"June 10, 2022 7:07 PM (GMT+1)","June 10, 2022 7:07 PM (GMT+1)",https://play.joystream.org/video/26858,CC0,@spat_sochi,"June 10, 2022",,!,!,
26855,Predator,en,ferdikesh_studio,ferdikesh_studio,30,11591201,4,Pets & Animals,1002,original video,-,"June 10, 2022 6:58 PM (GMT+1)","June 10, 2022 6:58 PM (GMT+1)",https://play.joystream.org/video/26855,CC0,@spat_sochi,"June 10, 2022",,!,!,
26860,Beneficios de Los Guajes y Super Botana,es,Las Recetas del Rancho,delranchorecipes,191,52920131,12,Howto & Style,1007,original video,-,"June 12, 2022","June 12, 2022",https://play.joystream.org/video/26860,CC_BY_NC_SA,skipper,"June 11, 2022",,,!,
26861,TEC Omega- Imaginarium Creative Jam Session #1,en,InfiniteImaginarium,infinteimaginarium,2479,1668773691,10,Entertainment,1002,original video,-,"June 12, 2022","June 12, 2022",https://play.joystream.org/video/26861,CC0,skipper,"June 11, 2022",,,!,
