Worker handle,Date,Hours,Tasks
"@lkskrn ","April 12, 2022",3,"https://github.com/Joystream/pioneer/pull/2853 "
"@lkskrn ","April 2, 2022",1,https://github.com/Joystream/pioneer/pull/2767
@freakstatic,"April 16, 2022",2,"Review the https://github.com/Joystream/community-repo/pull/679 and test the provider-test script 
Discussed how to process about “https://github.com/Joystream/community-repo/issues/744” issue"
@l1dev,"April 21, 2022",1,"investigate Make election stake reusable
https://github.com/Joystream/pioneer/issues/2826#issuecomment-1105810260https://github.com/Joystream/pioneer/pull/2856#issuecomment-1105825529"
@l1dev,"April 12, 2022 → April 22, 2022",5,"facilitated communication to find solution for assigned issue + PR
https://github.com/Joystream/community-repo/issues/744
https://github.com/Joystream/community-repo/pull/679
https://discord.com/channels/811216481340751934/963365664180027412/963384015224709120"
@l1dev,"April 1, 2022 → April 8, 2022",6,"bug reports pioneer atlas https://github.com/issues?q=author%3Atraumschule
3PRs https://discord.com/channels/811216481340751934/812344874099277824/962000711330201700
https://github.com/Joystream/pioneer/pull/2699
https://github.com/Joystream/pioneer/pull/2656
https://github.com/Joystream/atlas/pull/2325
"
@l1dev,"March 29, 2022",1,"Pioneer WG View
https://github.com/Joystream/pioneer/issues/2713

research atlas issue
https://github.com/Joystream/atlas/blob/master/packages/atlas/src/views/studio/VideoWorkspace/VideoForm/VideoForm.tsx#L152https://github.com/Joystream/atlas/blob/c8af8bc1c2013d8852ccccffda42c1d7783c27dd/packages/atlas/src/views/studio/VideoWorkspace/VideoWorkspaceForm/VideoWorkspaceForm.tsx#L286"
"@isonar ","May 6, 2022",22,Repairing the WG Bot: https://github.com/Joystream/community-repo/issues/754
"@freakstatic ","May 6, 2022",1,"Review Discord Bot: 
https://github.com/Joystream/community-repo/issues/754"
"@lkskrn ","May 9, 2022",1,"Additional fixes for gh issue:
https://github.com/Joystream/pioneer/pull/2960"
"@lkskrn ","May 4, 2022",4,"Pioneer fix:
https://github.com/Joystream/pioneer/pull/2961
Pioneer fix:
https://github.com/Joystream/pioneer/pull/2960"
"@freakstatic ","May 14, 2022",5,"Find the issue causing:
https://github.com/Joystream/pioneer/issues/2362 
Notes: had to deploy a dev chain to be able to reproduce it"
