"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"0,0",2184,1,"0,0"
"3054,0",2107,107,"28,5"
"3,2",2589,4,"0,8"
"0,1",2272,2,"0,0"
"6,3",2463,6,"1,1"
"27,0",2025,8,"3,4"
"8,6",2544,4,"2,2"
"0,1",2019,2,"0,0"
"400,8",2172,23,"17,4"
"229,3",2166,4,"57,3"
"184,1",2067,4,"46,0"
"1,9",2032,4,"0,5"
"3024,3",2048,58,"52,1"
"139,0",2224,22,"6,3"
"19,3",2536,4,"4,8"
"0,2",2018,2,"0,1"
"6,5",2478,8,"0,8"
"5,2",2569,4,"1,3"
"39,7",2332,6,"6,6"
"17,7",2520,4,"4,4"
"13,9",2511,4,"3,5"
"9609,7",2086,94,"102,2"
"79,4",2330,4,"19,9"
"9,0",2531,4,"2,3"
"0,0",2261,2,"0,0"
"2879,6",2162,62,"46,4"
"246,4",2312,2,"123,2"
"22,6",2124,8,"2,8"
"12,2",2517,10,"1,2"
"188,0",2309,4,"47,0"
"2580,5",2000,12,"215,0"
"6,0",2412,4,"1,5"
"2923,9",2249,80,"36,5"
"2,5",2366,4,"0,6"
"136,7",2170,7,"19,5"
"1138,0",2263,20,"56,9"
"490,3",2217,8,"61,3"
"3823,6",2102,50,"76,5"
"3,7",2495,4,"0,9"
"2259,1",2176,36,"62,8"
"12,4",2066,2,"6,2"
"8,1",2518,6,"1,3"
"81,9",2480,4,"20,5"
"5019,8",2163,16,"313,7"
"6,8",2376,4,"1,7"
"5,3",2542,4,"1,3"
"10,5",2361,4,"2,6"
"7,0",2497,6,"1,2"
"11,0",2504,10,"1,1"
"7,3",2571,4,"1,8"
"15894,8",2158,274,"58,0"
"0,3",2306,2,"0,1"
"8,5",2449,4,"2,1"
"12,7",2474,4,"3,2"
"162,3",2041,4,"40,6"
"4014,0",2059,32,"125,4"
"4587,8",2084,92,"49,9"
"594,4",2033,9,"66,0"
"4285,4",2100,139,"30,8"
"6,3",2585,4,"1,6"
"1086,3",2070,35,"31,0"
"0,0",2268,0,#DIV/0!
"1204,1",2315,4,"301,0"
"8,2",2387,3,"2,7"
"14,8",2396,4,"3,7"
"19,5",2300,4,"4,9"
"4714,5",2189,80,"58,9"
"1,1",2501,4,"0,3"
"0,0",2204,0,#DIV/0!
"2,6",2182,6,"0,4"
"0,0",2253,0,#DIV/0!
"13,5",2475,6,"2,3"
"1014,8",2064,60,"16,9"
"0,0",2262,2,"0,0"
"154,8",2221,6,"25,8"
"5268,8",2060,55,"95,8"
"158,7",2333,24,"6,6"
"6912,9",2181,80,"86,4"
"6,4",2347,4,"1,6"
"0,1",2329,2,"0,0"
"3664,9",2271,60,"61,1"
"6507,4",2142,124,"52,5"
"8,9",2548,8,"1,1"
"291,0",2230,44,"6,6"
"1105,3",2044,74,"14,9"
"158,0",2099,6,"26,3"
"1,2",2078,6,"0,2"
"8659,4",2168,10,"865,9"
"0,1",2443,2,"0,0"
"5,8",2578,4,"1,4"
"20,0",2547,4,"5,0"
"2226,6",2081,41,"54,3"
"58,3",2458,6,"9,7"
"17,4",2539,4,"4,4"
"327,6",2053,22,"14,9"
"6827,8",2050,34,"200,8"
"1749,2",2250,20,"87,5"
"3,2",2523,6,"0,5"
"3031,5",2173,6,"505,2"
"15,4",2411,4,"3,8"
"9,2",2385,4,"2,3"
"8,8",2450,4,"2,2"
"2,0",2424,4,"0,5"
"234,6",2257,20,"11,7"
"7513,8",2104,112,"67,1"
"0,0",2270,0,#DIV/0!
"11,9",2465,4,"3,0"
"8,4",2540,10,"0,8"
"1611,9",2140,38,"42,4"
"11194,5",2144,326,"34,3"
"1,4",2413,4,"0,4"
"1951,3",2151,5,"390,3"
"0,1",2005,2,"0,0"
"2,9",2403,4,"0,7"
"26,5",2255,4,"6,6"
"1,8",2414,4,"0,4"
"498,6",2135,8,"62,3"
"250,9",2318,16,"15,7"
"3836,9",2095,84,"45,7"
"9741,6",2089,185,"52,7"
"8,2",2541,4,"2,0"
"33,0",2533,4,"8,3"
"0,0",2290,0,#DIV/0!
"6,5",2399,4,"1,6"
"3,5",2456,4,"0,9"
"85,2",2174,4,"21,3"
"55,1",2529,8,"6,9"
"2058,6",2031,66,"31,2"
"4,9",2419,4,"1,2"
"4,7",2383,4,"1,2"
"1,6",2597,4,"0,4"
"17,5",2452,6,"2,9"
"271,7",2183,7,"38,8"
"14,1",2422,4,"3,5"
"352,1",2342,4,"88,0"
"37,7",2351,4,"9,4"
"3,0",2584,4,"0,7"
"199,8",2198,12,"16,6"
"4743,8",2154,198,"24,0"
"150,1",2241,2,"75,1"
"246,5",2129,11,"22,4"
"9516,6",2065,14,"679,8"
"0,0",2326,0,#DIV/0!
"10,1",2428,4,"2,5"
"253,9",2043,7,"36,3"
"823,2",2133,8,"102,9"
"9,7",2445,4,"2,4"
"39,7",2243,7,"5,7"
"208,4",2057,22,"9,5"
"216,5",2278,2,"108,3"
"672,6",2236,82,"8,2"
"0,0",2247,0,#DIV/0!
"7,2",2433,4,"1,8"
"15,5",2459,4,"3,9"
"39,7",2339,6,"6,6"
"24342,4",2072,304,"80,1"
"21364,8",2094,44,"485,6"
"8,3",2418,4,"2,1"
"110,4",2030,4,"27,6"
"1681,1",2246,4,"420,3"
"53,6",2223,10,"5,4"
"61,3",2538,4,"15,3"
"1970,0",2245,60,"32,8"
"154,6",2027,15,"10,3"
"10,0",2397,4,"2,5"
"46,3",2499,6,"7,7"
"2,6",2379,4,"0,6"
"2,3",2398,4,"0,6"
"5,2",2549,4,"1,3"
"1,6",2434,4,"0,4"
"8789,3",2035,30,"293,0"
"2993,5",2210,12,"249,5"
"14,5",2473,4,"3,6"
"0,0",2238,1,"0,0"
"28,8",2369,6,"4,8"
"0,0",2304,2,"0,0"
"973,1",2320,12,"81,1"
"8865,4",2062,164,"54,1"
"60,8",2267,2,"30,4"
"2109,3",2069,9,"234,4"
"5404,2",2029,26,"207,9"
"0,1",2016,2,"0,0"
"23,6",2563,6,"3,9"
"39,7",2338,6,"6,6"
"28,2",2573,4,"7,0"
"5,8",2442,4,"1,4"
"30,5",2579,4,"7,6"
"2118,7",2021,26,"81,5"
"76,9",2590,4,"19,2"
"40,1",2308,8,"5,0"
"3,0",2381,4,"0,8"
"15,4",2451,4,"3,9"
"6,1",2297,3,"2,0"
"10,6",2487,8,"1,3"
"2067,5",2191,42,"49,2"
"1590,2",2075,126,"12,6"
"0,0",2178,0,#DIV/0!
"0,0",2293,2,"0,0"
"0,0",2365,1,"0,0"
"15,7",2562,4,"3,9"
"9,5",2410,4,"2,4"
"6,0",2493,4,"1,5"
"2540,3",2161,18,"141,1"
"0,2",2012,2,"0,1"
"1010,2",2131,8,"126,3"
"1,0",2559,4,"0,2"
"7,4",2370,4,"1,9"
"174,4",2123,6,"29,1"
"5,2",2354,4,"1,3"
"3466,1",2125,86,"40,3"
"0,0",2242,2,"0,0"
"1382,6",2110,40,"34,6"
"0,1",2008,2,"0,1"
"23,3",2471,6,"3,9"
"0,0",2214,0,#DIV/0!
"503,8",2259,9,"56,0"
"19746,2",2127,354,"55,8"
"0,1",2003,2,"0,1"
"1624,2",2195,4,"406,1"
"1277,3",2073,12,"106,4"
"24788,3",2148,60,"413,1"
"4394,7",2157,32,"137,3"
