Property,Hours
l1dev (Lead activities only),5
ivant,5
polikosi,3
lkskrn,8
freakstatic,0
gyroflaw,5
mkblockchaindev,8
chaos77,5
TheGrimSavage,5
RogueTemplar,5
icrate,0
beeust,0
BlackHorse,0
alexacc,0
stevediaz,0
Lead Extra Hours:,1
,
