Property,Hours
mkblockchaindev,8
l1dev (Lead activities only),5
freakstatic,0
RogueTemplar,5
,
Lead Extra Hours:,1
gyroflaw,5
lkskrn,8
ivant,5
TheGrimSavage,5
chaos77,5
polikosi,3
beeust,0
icrate,0
BlackHorse,0
alexacc,0
stevediaz,0
