Title,Earned Budget,Lead Bonus,Lead Salary,Metric,Score,Weighed Budget,Weight
,0,,0,NETWORK_PERFORMANCE,0.573,0,
,9.775,0.35,1.3275,STORAGE,0.575,17,5
,2.775,0.35,0.6275,FORUM,0.925,3,1
,12.733,0.1,1.3733,DISTRIBUTORS,0.749,17,5
,6.877,0.1,0.7877,HR,0.529,13,4
,1.4,0.1,0.24,CONTENT,0.2,7,2
,5.629,0.1,0.6629,BUILDERS,0.433,13,4
