Title,Metric,Weight,Weighed Budget,Score,Earned Budget,Lead Bonus,Lead Salary
,BUILDERS,8,17,0.677,11.509,0,1.1509
,CONTENT,4,9,0.1177,1.0593,0,0.10593
,DISTRIBUTORS,6,13,0.644,8.372,0,0.8372
,STORAGE,6,13,0.711,9.243,0,0.9243
,HR,8,17,0.805,13.685,0,1.3685
,FORUM,1,2,0.375,0.75,,0.075
,MARKETING,,0,,0,0,0
