Title,Metric,Weight,Weighed Budget,Score,Earned Budget,Lead Bonus,Lead Salary
,BUILDERS,8,17,0.53,9.01,0.5,1.401
,CONTENT,4,9,0.45,4.05,0,0.405
,DISTRIBUTORS,6,13,0.35,4.55,1.25,1.705
,STORAGE,6,13,0.55,7.15,1.1,1.815
,HR,8,17,0.82,13.94,0.45,1.844
,FORUM,1,2,0.63,1.26,,0.126
,MARKETING,,0,,0,1.5,1.5
