Title,Metric,Weight,Weighed Budget,Score,Earned Budget,Lead Bonus,Lead Salary
,BUILDERS,4,13,0.433,5.629,0.1,0.6629
,CONTENT,2,7,0.2,1.4,0.1,0.24
,DISTRIBUTORS,5,17,0.749,12.733,0.1,1.3733
,FORUM,1,3,0.925,2.775,0.35,0.6275
,HR,4,13,0.529,6.877,0.1,0.7877
,STORAGE,5,17,0.575,9.775,0.35,1.3275
,NETWORK_PERFORMANCE,,0,0.573,0,,0
