Title,Earned Budget,Lead Bonus,Lead Salary,Metric,Score,Weighed Budget,Weight
,9.243,0,0.9243,STORAGE,0.711,13,6
,0.75,,0.075,FORUM,0.375,2,1
,8.372,0,0.8372,DISTRIBUTORS,0.644,13,6
,0,0,0,MARKETING,,0,
,1.0593,0,0.10593,CONTENT,0.1177,9,4
,11.509,0,1.1509,BUILDERS,0.677,17,8
,13.685,0,1.3685,HR,0.805,17,8
