Title,Earned Budget,Lead Bonus,Lead Salary,Metric,Score,Weighed Budget,Weight
,4.55,1.25,1.705,DISTRIBUTORS,0.35,13,6
,7.15,1.1,1.815,STORAGE,0.55,13,6
,4.05,0,0.405,CONTENT,0.45,9,4
,9.01,0.5,1.401,BUILDERS,0.53,17,8
,13.94,0.45,1.844,HR,0.82,17,8
,0,1.5,1.5,MARKETING,,0,
,1.26,,0.126,FORUM,0.63,2,1
