workerId,worker_total
storageWorkingGroup-10,605640
storageWorkingGroup-5,605640
storageWorkingGroup-8,605640
storageWorkingGroup-15,605640
storageWorkingGroup-7,1009400
storageWorkingGroup-11,605640
storageWorkingGroup-13,605640
storageWorkingGroup-1,100940
storageWorkingGroup-4,605640
storageWorkingGroup-0,1816920
storageWorkingGroup-9,605640
storageWorkingGroup-2,605640
storageWorkingGroup-14,605640
storageWorkingGroup-3,605640
