Title,Utilization,bags,dataObjectsCount,dataObjectsSize,"dataObjectsSize, GB",dataObjectsSizeLimit,id
,63.64%,687,15644,954604241107,888.2,1500000000000,14
,0%,0,0,0,0,1500000000000,12
,47.7%,663,15542,954027680903,887.6,2000000000000,1
,0%,1,2,13226270,0,1500000000000,11
,63.61%,680,15568,954101644479,887.7,1500000000000,8
,68.15%,680,15568,954101644479,887.7,1400000000000,2
,68.15%,680,15568,954101644479,887.7,1400000000000,3
,0.26%,1,12,2580456339,2.4,1000000000000,9
,0%,1,2,13226270,0,1500000000000,13
,47.71%,680,15568,954101644479,887.7,2000000000000,6
,0%,1,2,13226270,0,1500000000000,10
,0.01%,1,40,264524788,0.2,2000000000000,0
,0%,0,0,0,0,2000000000000,4
,0%,0,0,0,0,1500000000000,15
