Bag ID,ObjectNumber,"Objects size, MB","Objects size, average, MB"
2319,4,"8,6","2,2"
2320,4,"196,2","49,0"
2321,4,"11,0","2,7"
2322,4,"12,0","3,0"
2323,12,"474,0","39,5"
2324,4,"763,2","190,8"
2325,4,"14,5","3,6"
2326,0,"0,0",#DIV/0!
2327,4,"22,9","5,7"
2328,18,"187,7","10,4"
2329,2,"0,1","0,0"
2330,4,"79,4","19,9"
2331,2,"0,4","0,2"
2332,6,"39,7","6,6"
2333,18,"119,0","6,6"
2334,4,"26,5","6,6"
2335,4,"26,5","6,6"
2336,4,"26,5","6,6"
2337,4,"26,5","6,6"
2338,4,"26,5","6,6"
2339,4,"26,5","6,6"
2340,2,"0,1","0,0"
2341,4,"68,9","17,2"
2342,4,"352,1","88,0"
