Name,Added,Files,Info,Link,Related to Proposals (Contract Link),Signed,Type,Worker
Joystream Handbook,"April 4, 2022 12:56 PM",,,,,No,,
promo video,"April 4, 2022 10:21 PM",,,"https://play.joystream.org/video/15931 ",,Yes,"Content, DONE",kate_fm
promo video,"April 4, 2022 10:21 PM",,,https://play.joystream.org/video/15152,,Yes,"Content, DONE",IgreX
promo video,"April 4, 2022 10:26 PM",,,https://play.joystream.org/video/15774 https://play.joystream.org/video/15775,,Yes,"Content, DONE",
research on LBRY (Odysee),"April 4, 2022 10:28 PM",,,https://medium.com/@katerina510/is-decentralization-a-philosophy-or-a-necessity-decentralized-governance-tools-85375f661ed,,Yes,"DONE, Research",kate_fm
Gitbook improvements,"April 5, 2022 2:53 AM",,"Finding typos, broken links. Propose improvements.",,,Yes,"Content, Research","adovrn, abramaria_, Valeri Valeri"
Gitbook glossary of terms,"April 5, 2022 2:54 AM",,,https://www.notion.so/joystream/aefcd1f8cf6b4c648d3a16f5a46bf42a?v=2f52b5fb43b640f285c04ce084ef976c,,Yes,Research,"Valeri Valeri, abramaria_"
niche research  - decentralized media platforms,"April 5, 2022 2:56 AM",,,https://github.com/Joystream/marketing/issues/204,,Yes,"DONE, Research, issue",adovrn
Add content to https://github.com/Joystream/marketing repo,"April 7, 2022 1:37 AM",,"https://github.com/Joystream/marketing/blob/main/README.md, add marketing materials, tutorials",https://github.com/Joystream/marketing,,Yes,"Content, Research",leet_joy
Marketing WG Notion,"April 7, 2022 1:40 AM",,improve marketing notion page,https://www.notion.so/joystream/Marketer-5e180ac0c70047098617bc59c303b08c,,Yes,"Content, Research","leet_joy, kate_fm"
Marketing WG roadmap,"April 9, 2022 2:46 PM",,,,,Yes,Research,"leet_joy, kate_fm"
research on LBRY part 2,"April 11, 2022 2:19 PM",,,https://medium.com/@katerina510/companies-behind-lbry-useful-links-metrics-and-notes-e65d8428db38,,Yes,"Article, Content, DONE, Research",kate_fm
list in DAO directories,"April 22, 2022 9:42 AM",,listing in dao directories,https://www.notion.so/joystream/18f20eb2ba0d418c802c2e2cf0b06be8?v=0f8853ee022742b0ae1cc908ebed7e46,,Yes,"Content, Research",kate_fm
ama translation,"April 22, 2022 9:43 AM",,,,,Yes,Content,abramaria_
