Name,Comment,Files/Screenshot,Link,Tags
Binding,,Gitbook%20glossary/2022-04-14_22-39-27%201.png,https://joystream.gitbook.io/testnet-workspace/system/accounts-and-staking,Pending
Locks,,Gitbook%20glossary/2022-04-14_22-39-27%202.png,https://joystream.gitbook.io/testnet-workspace/system/accounts-and-staking,Pending
rivalrous and non-rivalrous locks,,Gitbook%20glossary/2022-04-14_22-53-48.png,https://joystream.gitbook.io/testnet-workspace/system/accounts-and-staking,Pending
ID,,Gitbook%20glossary/2022-04-14_22-56-33.png,https://joystream.gitbook.io/testnet-workspace/system/accounts-and-staking,Pending
Slashing,,Gitbook%20glossary/2022-04-14_23-03-31.png,https://joystream.gitbook.io/testnet-workspace/system/accounts-and-staking,Pending
State bloat,,Gitbook%20glossary/2022-04-14_23-03-31%201.png,https://joystream.gitbook.io/testnet-workspace/system/accounts-and-staking,Pending
pallet_staking,,Gitbook%20glossary/2022-04-14_23-07-46.png,https://joystream.gitbook.io/testnet-workspace/system/proposal-system#effect-12,Pending
Root Account,,Gitbook%20glossary/2022-04-15_10-06-53.png,https://joystream.gitbook.io/testnet-workspace/system/memberships,Pending
SUDO call,,Gitbook%20glossary/2022-04-15_10-13-30.png,https://joystream.gitbook.io/testnet-workspace/system/memberships,Pending
Metadata,,Gitbook%20glossary/73991D12-1585-49C6-99FD-7C87DBDF89F2.png,https://joystream.gitbook.io/testnet-workspace/system/memberships,Pending
referral cut,,Gitbook%20glossary/D940D5DF-A2A4-4387-805D-1A3E41575048.png,https://joystream.gitbook.io/testnet-workspace/system/memberships,Pending
membership_price,,Gitbook%20glossary/1289C7CE-D145-4517-A486-F56F33922228.png,https://joystream.gitbook.io/testnet-workspace/system/memberships,Pending
default_invite_count,,Gitbook%20glossary/65C2916F-4B33-489A-883A-2A2EE951B001.png,https://joystream.gitbook.io/testnet-workspace/system/memberships,Pending
invite quota,,Gitbook%20glossary/E246FE51-AFB2-4315-9DD3-D888AE5E8378.png,https://joystream.gitbook.io/testnet-workspace/system/memberships,Pending
Council,,Gitbook%20glossary/2022-04-16_14-06-36.png,https://joystream.gitbook.io/testnet-workspace/system/council,Pending
councilor_reward,,Gitbook%20glossary/2022-04-16_23-03-20.png,https://joystream.gitbook.io/testnet-workspace/system/council,Pending
encoding,,Gitbook%20glossary/2022-04-16_23-28-07.png,https://joystream.gitbook.io/testnet-workspace/system/council,Pending
Cycle Id,,Gitbook%20glossary/2022-04-16_23-28-07%201.png,https://joystream.gitbook.io/testnet-workspace/system/council,Pending
opaque hash digest,,Gitbook%20glossary/2022-04-16_23-49-55.png,https://joystream.gitbook.io/testnet-workspace/system/council,Pending
CLI,,Gitbook%20glossary/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-19_%D0%B2_23.01.50.png,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,Pending
Joystream Stats,,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,Pending
node,,,https://www.notion.so/d34c0f54ac804b429db4c260ddac29ba?pvs=21,Pending
family buckets,,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score,Pending
Distributor,,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score,Pending
cach,,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score,Pending
CRM,,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score,Pending
oracle,,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score,Pending
ETA,,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score,Pending
Storage Providers,,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score,Pending
membership evangelists,,,https://joystream.gitbook.io/testnet-workspace/testnet/testnet-faq,Pending
Extrinsics,,,https://joystream.gitbook.io/testnet-workspace/system/memberships,Pending
sniping,,,https://joystream.gitbook.io/testnet-workspace/system/content-directory/nft,Pending
Royalty,,,https://joystream.gitbook.io/testnet-workspace/system/content-directory/nft,Pending
Claim,,,https://joystream.gitbook.io/testnet-workspace/system/content-directory/nft,Pending
proof-of-concept,,,https://joystream.gitbook.io/testnet-workspace/system/storage,Pending
AWS,,,https://joystream.gitbook.io/testnet-workspace/system/storage,Pending
roadmap,,,https://joystream.gitbook.io/testnet-workspace/system/storage,Pending
Proof-of-Stake,,,https://joystream.gitbook.io/testnet-workspace/system/validation,Pending
Thread,,,https://joystream.gitbook.io/testnet-workspace/system/forum,Pending
a blockchain consensus system,,,https://joystream.gitbook.io/testnet-workspace/system/validation,Pending
classical BFT consensus,,,https://joystream.gitbook.io/testnet-workspace/system/validation,Pending
Stage,,,https://joystream.gitbook.io/testnet-workspace/system/bounties,Pending
cherry,,,https://joystream.gitbook.io/testnet-workspace/system/bounties,Pending
bounty,,,https://joystream.gitbook.io/testnet-workspace/system/bounties,Pending
