Name,Type,Signed,Files,Worker,Link,Added,Info
ama translation,Content,Yes,,abramaria_,,"April 22, 2022 9:43 AM",
list in DAO directories,"Content, Research",Yes,,kate_fm,https://www.notion.so/joystream/18f20eb2ba0d418c802c2e2cf0b06be8?v=0f8853ee022742b0ae1cc908ebed7e46,"April 22, 2022 9:42 AM",listing in dao directories
research on LBRY part 2,"Article, Content, DONE, Research",Yes,,kate_fm,https://medium.com/@katerina510/companies-behind-lbry-useful-links-metrics-and-notes-e65d8428db38,"April 11, 2022 2:19 PM",
Marketing WG roadmap,Research,Yes,,"leet_joy, kate_fm",,"April 9, 2022 2:46 PM",
Marketing WG Notion,"Content, Research",Yes,,"leet_joy, kate_fm",https://www.notion.so/joystream/Marketer-5e180ac0c70047098617bc59c303b08c,"April 7, 2022 1:40 AM",improve marketing notion page
Add content to https://github.com/Joystream/marketing repo,"Content, Research",Yes,,leet_joy,https://github.com/Joystream/marketing,"April 7, 2022 1:37 AM","https://github.com/Joystream/marketing/blob/main/README.md, add marketing materials, tutorials"
niche research  - decentralized media platforms,"DONE, Research, issue",Yes,,adovrn,https://github.com/Joystream/marketing/issues/204,"April 5, 2022 2:56 AM",
Gitbook glossary of terms,Research,Yes,,"Valeri Valeri, abramaria_",https://www.notion.so/joystream/aefcd1f8cf6b4c648d3a16f5a46bf42a?v=2f52b5fb43b640f285c04ce084ef976c,"April 5, 2022 2:54 AM",
Gitbook improvements,"Content, Research",Yes,,"adovrn, abramaria_, Valeri Valeri",,"April 5, 2022 2:53 AM","Finding typos, broken links. Propose improvements."
research on LBRY (Odysee),"DONE, Research",Yes,,kate_fm,https://medium.com/@katerina510/is-decentralization-a-philosophy-or-a-necessity-decentralized-governance-tools-85375f661ed,"April 4, 2022 10:28 PM",
promo video,"Content, DONE",Yes,,,https://play.joystream.org/video/15774 https://play.joystream.org/video/15775,"April 4, 2022 10:26 PM",
promo video,"Content, DONE",Yes,,kate_fm,"https://play.joystream.org/video/15931 ","April 4, 2022 10:21 PM",
promo video,"Content, DONE",Yes,,IgreX,https://play.joystream.org/video/15152,"April 4, 2022 10:21 PM",
Joystream Handbook,,No,,,,"April 4, 2022 12:56 PM",
