Report,Property,Councils,Created By,Date,Status,Summary,Term
3 term report,"February 2, 2023 2:01 PM","l1dev, 0x2bc, jen4ph",leet_joy,17.01.2023 - 2.02.2023,Done,,3
2 term report,"February 1, 2023 11:23 AM","ismail_malik, isonar, abramaria_",leet_joy,14.01.2023 - 17.01.2023,Done,,2
4 term report,"April 2, 2023 12:16 PM","ismail, songoku, isonar",leet_joy,3.02.2023 - 18.02.2023,Done,,4
5 term report,"March 5, 2023 5:24 PM","jen4ph, l1dev, 0x2bc",leet_joy,18.02.2023 - 3.03.2023,Done,,5
6 term report,"March 18, 2023 3:44 PM","jen4ph, 0x2bc, tomato",leet_joy,3.03.2023 - 18.03.2023,Done,,6
7 term report,"April 2, 2023 12:29 PM","adovrn, leet_joy, songoku",leet_joy,18.03.2023 - 2.04.2023,Done,,7
8 term report,"April 17, 2023 10:24 PM","0x2bc, jen4ph, chaos77",leet_joy,,Done,,8
9 term report,"May 3, 2023 4:23 AM","chaos77, igrex, leet_joy",leet_joy,"April 17, 2023 → May 2, 2023",Done,,9
24 Report,"December 14, 2023 12:41 PM",,leet_joy,,Not started,,24
25 Plan,"December 14, 2023 2:45 PM",,leet_joy,,Not started,,
29 report,"February 27, 2024 9:39 PM",,leet_joy,,Not started,,
25 Report,"December 29, 2023 5:03 AM",,leet_joy,,Not started,,25
26 Plan,"January 2, 2024 9:08 AM",,leet_joy,,Not started,,
26 Report,"January 13, 2024 11:19 AM",,leet_joy,,Not started,,25
27 Plan,"January 13, 2024 6:18 PM",,leet_joy,,Not started,,
30 plan,"March 13, 2024 2:56 PM",,leet_joy,,Not started,,
,"February 27, 2024 9:42 PM",,leet_joy,,Not started,,
,"March 13, 2024 2:53 PM",,leet_joy,,Not started,,
30 report,"March 14, 2024 3:52 AM",,leet_joy,,Not started,,
31 plan,"March 14, 2024 4:29 AM",,leet_joy,,Not started,,
31 report,"April 11, 2024 2:12 PM",,leet_joy,,Done,,
32 plan,"April 11, 2024 2:30 PM",,leet_joy,,Not started,,
32 report,"May 9, 2024 9:46 AM",,leet_joy,,Done,,
33 plan,"May 9, 2024 9:59 AM",,leet_joy,,Not started,,
33 report,"June 6, 2024 9:50 AM",,leet_joy,,Done,,
34 plan,"June 6, 2024 3:15 PM",,leet_joy,,Not started,,
34 report,"July 4, 2024 2:56 PM",,leet_joy,,Done,,
35 plan,"July 5, 2024 12:02 PM",,leet_joy,,Not started,,
35 report,"August 1, 2024 5:09 PM",,leet_joy,,Done,,
36 report,"August 29, 2024 3:41 PM",,leet_joy,,Done,,
36 plan,"August 4, 2024 3:06 PM",,leet_joy,,Not started,,
36 report,"August 29, 2024 5:27 PM",,leet_joy,,Done,,
37 plan,"August 29, 2024 7:06 PM",,leet_joy,,Not started,,
37 report,"September 27, 2024 11:23 AM",,leet_joy,,Done,,
38 plan,"September 27, 2024 11:49 AM",,leet_joy,,Not started,,
38 report,"October 24, 2024 7:36 PM",,leet_joy,,Done,,
39 plan,"November 27, 2024 12:26 PM",,leet_joy,,Not started,,
39 report,"November 27, 2024 1:42 PM",,leet_joy,,Not started,,
40 plan,"November 27, 2024 12:32 PM",,leet_joy,,Not started,,
40 report,"December 30, 2024 1:17 PM",,leet_joy,,Not started,,
41 plan,"January 6, 2025 5:20 PM",,leet_joy,,Not started,,
