id,objects_num,total_size bytes,average_size bytes,Property
2075,12,307535001,25627916,
2171,2,39403323,19701661,
2213,2,6999154,3499577,
2310,8,1475008713,184376089,
2324,2,535072616,267536308,
2604,24,831468780,34644532,
2639,10,156212163,15621216,
2645,10,11544025,1154402,
2687,2,3135879,1567939,
2688,4,818586,204646,
2690,2,31988,15994,
2691,2,22258,11129,
2692,18,655052536,36391807,
2693,6,3620178,603363,
2694,2,78000,39000,
2695,1,7574,7574,
2696,6,5014838,835806,
2697,8,1207445268,150930658,
2698,2,77454,38727,
