Worker,Performance,Remarks
,,
lkskrn,🟢,All good
secret_girl,🟢,All good
polikosi,🟢,All good
ivant,🟢,All good
freakstatic,🟢,"All good, expected to start delivering next Term"
jameswee,🟢,Was sick this week
