Task name,Assignee,Due,GitHub Pull Requests,Governance Status,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID,URL
Task,,,,Not started,,,Industrial Validators Onboarding (Industrial%20Validators%20Onboarding%20cdd6b006ddac4c4e97662d429ed0a76b.md),,Not started,,,,GEN-18,
Outreach to industrial grade validators,,,,Not started,,,Industrial Validators Onboarding (Industrial%20Validators%20Onboarding%20cdd6b006ddac4c4e97662d429ed0a76b.md),,In progress,,,,GEN-19,
