Name,Assignee,Last Updated,Last edited time,Parent item,Progress,Quarter,Roadmap,Status,Sub-item
[2024 Q1] O-1-1 Improve Joystream as a Video Platform,,,"June 18, 2024 6:31 PM",,,Q3 2023,,,"KR-1.1 [Distributors] Ensure median bandwidth > 20 Mbps and median TTFB < 350 ms for all deployment locations (across multiple tests). (OKRs/Joystream%20OKRs/KR-1%201%20%5BDistributors%5D%20Ensure%20median%20bandwidth%2020%20M%208ca03adb44a74ec8b05a78d5c4f6ed44.md), KR-1.2 [Storage] Maintain percentage of lost objects 0%. Maintain percentage of unaccepted objects < 1%. Maintain a replication rate of not lower 2 for all objects. Maintain an average node availability of 99.9% (OKRs/Joystream%20OKRs/KR-1%202%20%5BStorage%5D%20Maintain%20percentage%20of%20lost%20objec%20f6966e283433485fa228408dfc31cedd.md),  KR-1.3  [Builders] Atlas SDK: development of functional design specification (OKRs/Joystream%20OKRs/KR-1%203%20%5BBuilders%5D%20Atlas%20SDK%20development%20of%20functio%20a7d244b2f8ba46f6b308947638649d1e.md)"
[2024 Q1] O-1-2 Maintain Security of the Joystream Blockchain,,,"June 18, 2024 6:25 PM",,,Q3 2023,,,KR-2.1 [Council] Average block time is less than 6.1s (OKRs/Joystream%20OKRs/KR-2%201%20%5BCouncil%5D%20Average%20block%20time%20is%20less%20than%206%200acf283df5104941b7272e29291dfd8f.md)
[2024 Q1] O-1-3 Improve Joystream DAO Governance,,,"June 18, 2024 6:25 PM",,,Q3 2023,,,"KR-3.1 [HumanResources] Conduct 2 anonymous surveys to understand whether DAO workers are satisfied with governance and working conditions. (OKRs/Joystream%20OKRs/KR-3%201%20%5BHumanResources%5D%20Conduct%202%20anonymous%20survey%2005a7d49037d64c32b111737965089271.md), KR-3.2 [Builders] Pioneer Validator dashboard (OKRs/Joystream%20OKRs/KR-3%202%20%5BBuilders%5D%20Pioneer%20Validator%20dashboard%2023fc1bfaf8e54454b111379c973df2ac.md), KR-3.3 [HumanResources] Develop prototype of council and lead scoring system (OKRs/Joystream%20OKRs/KR-3%203%20%5BHumanResources%5D%20Develop%20prototype%20of%20counc%203d204c871093480a8d2af963ccb7f725.md), KR-3.4 [Council] DAO pay structure (OKRs/Joystream%20OKRs/KR-3%204%20%5BCouncil%5D%20DAO%20pay%20structure%2047c0478596ee4b20942f21df5fd0ee96.md)"
[2024 Q1] O-1-4 Enhance Joystream user adoption,,,"June 18, 2024 6:25 PM",,,Q3 2023,,,"KR-4.1 [Marketing] Joystream is listed on at least 2 more CEX: Achieve social media metrics required for exchange listing, Execute listing with DAO provided funds (OKRs/Joystream%20OKRs/KR-4%201%20%5BMarketing%5D%20Joystream%20is%20listed%20on%20at%20least%2032a522178aab44ae9a858ebbb62c14d4.md), KR-4.2 [Marketing] At least 25 new Joystream-related review videos targeted at crypto audiences are posted on Youtube (OKRs/Joystream%20OKRs/KR-4%202%20%5BMarketing%5D%20At%20least%2025%20new%20Joystream-relat%2042473be3badd4d7d8af662387089a1c8.md), KR-4.3 [Marketing] At least 3 new interviews with Joystream team are conducted and published (OKRs/Joystream%20OKRs/KR-4%203%20%5BMarketing%5D%20At%20least%203%20new%20interviews%20with%20%208f3d6ac474174645af7006d87037a83f.md), KR-4.4 [Marketing] Reach 32,000 non-empty channels and 1,400,000 non-spam videos on Joystream by the end of Q1 (OKRs/Joystream%20OKRs/KR-4%204%20%5BMarketing%5D%20Reach%2032,000%20non-empty%20channels%204ee7a39e95904d72bd50ee01c908980f.md), KR-4.5 [Marketing] Onboard 10 Marketing Ambassadors (OKRs/Joystream%20OKRs/KR-4%205%20%5BMarketing%5D%20Onboard%2010%20Marketing%20Ambassador%205fa68b394921410a8a7b1d9731407606.md), KR-4.6 [HumanResources] Conduct NPS survey for content creators 2 times per quarter. Use the similar survey template as was used in Q4 2023 (OKRs/Joystream%20OKRs/KR-4%206%20%5BHumanResources%5D%20Conduct%20NPS%20survey%20for%20con%20b8510229984844648539ced75499ae62.md), KR-4.7 [HumanResources] At least 3 community events or workshops are organized aimed at/for content creators during the quarter. The total views of the event recordings should not be fewer than 500 views across all platform for all 5 videos. (OKRs/Joystream%20OKRs/KR-4%207%20%5BHumanResources%5D%20At%20least%203%20community%20event%207ee188601b20436092757f3ec0271e25.md), KR-4.8 [Marketing] Achieve a 20% increase in total social media impressions compared to the previous quarter (OKRs/Joystream%20OKRs/KR-4%208%20%5BMarketing%5D%20Achieve%20a%2020%25%20increase%20in%20total%20a1d5614928034d97b9895aa2badf2011.md), KR 4.9 [Content] At least 5 gold+ tier creators have created a creator token (OKRs/Joystream%20OKRs/KR%204%209%20%5BContent%5D%20At%20least%205%20gold+%20tier%20creators%20ha%204070db0356754aefb0e8371c547c21dc.md)"
KR-1.1 [Distributors] Ensure median bandwidth > 20 Mbps and median TTFB < 350 ms for all deployment locations (across multiple tests).,Distributor WG,"March 8, 2024","June 18, 2024 6:31 PM",[2024 Q1] O-1-1 Improve Joystream as a Video Platform (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-1%20Improve%20Joystream%20as%20a%20Video%20Platf%2070ee7f8b6c2d401195de1f1348b1454a.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Q3 2023,,Completed ⭐️,
KR-1.2 [Storage] Maintain percentage of lost objects 0%. Maintain percentage of unaccepted objects < 1%. Maintain a replication rate of not lower 2 for all objects. Maintain an average node availability of 99.9%,Storage WG,"March 7, 2024","June 18, 2024 6:31 PM",[2024 Q1] O-1-1 Improve Joystream as a Video Platform (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-1%20Improve%20Joystream%20as%20a%20Video%20Platf%2070ee7f8b6c2d401195de1f1348b1454a.md),◾️◽️◽️◽️◽️◽️◽️◽️◽️◽️10%,Q3 2023,,At risk ⚠️,
" KR-1.3  [Builders] Atlas SDK: development of functional design specification",Builders WG,"February 21, 2024","June 18, 2024 6:31 PM",[2024 Q1] O-1-1 Improve Joystream as a Video Platform (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-1%20Improve%20Joystream%20as%20a%20Video%20Platf%2070ee7f8b6c2d401195de1f1348b1454a.md),◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,Q3 2023,,Excluded,
KR-2.1 [Council] Average block time is less than 6.1s,Council,"March 8, 2024","April 30, 2024 10:30 AM",[2024 Q1] O-1-2 Maintain Security of the Joystream Blockchain (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-2%20Maintain%20Security%20of%20the%20Joystream%203621c17edff84302bf2819d79618dadf.md),◾️◾️◾️◾️◾️◾️◾️◾️◽️◽️80%,Q3 2023,,On track ✅,
KR-3.1 [HumanResources] Conduct 2 anonymous surveys to understand whether DAO workers are satisfied with governance and working conditions.,HR WG,"March 7, 2024","April 30, 2024 10:36 AM",[2024 Q1] O-1-3 Improve Joystream DAO Governance (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-3%20Improve%20Joystream%20DAO%20Governance%20b48fd92030f14de4a0d5b800a208299d.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Q3 2023,,Completed ⭐️,
KR-3.2 [Builders] Pioneer Validator dashboard,Builders WG,"March 7, 2024","April 30, 2024 10:34 AM",[2024 Q1] O-1-3 Improve Joystream DAO Governance (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-3%20Improve%20Joystream%20DAO%20Governance%20b48fd92030f14de4a0d5b800a208299d.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Q3 2023,,Completed ⭐️,
KR-3.3 [HumanResources] Develop prototype of council and lead scoring system,HR WG,,"February 21, 2024 12:05 PM",[2024 Q1] O-1-3 Improve Joystream DAO Governance (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-3%20Improve%20Joystream%20DAO%20Governance%20b48fd92030f14de4a0d5b800a208299d.md),◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,Q3 2023,,Excluded,
KR-3.4 [Council] DAO pay structure,Council,"March 8, 2024","April 30, 2024 10:36 AM",[2024 Q1] O-1-3 Improve Joystream DAO Governance (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-3%20Improve%20Joystream%20DAO%20Governance%20b48fd92030f14de4a0d5b800a208299d.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Q3 2023,,Completed ⭐️,
"KR-4.1 [Marketing] Joystream is listed on at least 2 more CEX: Achieve social media metrics required for exchange listing, Execute listing with DAO provided funds",Marketing WG,"February 21, 2024","June 18, 2024 6:11 PM",[2024 Q1] O-1-4 Enhance Joystream user adoption (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-4%20Enhance%20Joystream%20user%20adoption%2075392c72ed28482d8332b627024d3776.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Q3 2023,,Completed ⭐️,
KR-4.2 [Marketing] At least 25 new Joystream-related review videos targeted at crypto audiences are posted on Youtube,Marketing WG,"February 21, 2024","June 18, 2024 6:11 PM",[2024 Q1] O-1-4 Enhance Joystream user adoption (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-4%20Enhance%20Joystream%20user%20adoption%2075392c72ed28482d8332b627024d3776.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Q3 2023,,Completed ⭐️,
KR-4.3 [Marketing] At least 3 new interviews with Joystream team are conducted and published,Marketing WG,"March 8, 2024","June 18, 2024 6:11 PM",[2024 Q1] O-1-4 Enhance Joystream user adoption (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-4%20Enhance%20Joystream%20user%20adoption%2075392c72ed28482d8332b627024d3776.md),◾️◾️◾️◽️◽️◽️◽️◽️◽️◽️30%,Q3 2023,,Postponed,
"KR-4.4 [Marketing] Reach 32,000 non-empty channels and 1,400,000 non-spam videos on Joystream by the end of Q1",Marketing WG,"March 8, 2024","June 18, 2024 6:11 PM",[2024 Q1] O-1-4 Enhance Joystream user adoption (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-4%20Enhance%20Joystream%20user%20adoption%2075392c72ed28482d8332b627024d3776.md),◾️◾️◾️◾️◽️◽️◽️◽️◽️◽️40%,Q3 2023,,On track ✅,
KR-4.5 [Marketing] Onboard 10 Marketing Ambassadors,Marketing WG,"March 8, 2024","June 18, 2024 6:11 PM",[2024 Q1] O-1-4 Enhance Joystream user adoption (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-4%20Enhance%20Joystream%20user%20adoption%2075392c72ed28482d8332b627024d3776.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Q3 2023,,Completed ⭐️,
KR-4.6 [HumanResources] Conduct NPS survey for content creators 2 times per quarter. Use the similar survey template as was used in Q4 2023,HR WG,,"June 18, 2024 6:11 PM",[2024 Q1] O-1-4 Enhance Joystream user adoption (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-4%20Enhance%20Joystream%20user%20adoption%2075392c72ed28482d8332b627024d3776.md),◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,Q3 2023,,Excluded,
KR-4.7 [HumanResources] At least 3 community events or workshops are organized aimed at/for content creators during the quarter. The total views of the event recordings should not be fewer than 500 views across all platform for all 5 videos.,HR WG,"March 8, 2024","June 18, 2024 6:11 PM",[2024 Q1] O-1-4 Enhance Joystream user adoption (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-4%20Enhance%20Joystream%20user%20adoption%2075392c72ed28482d8332b627024d3776.md),◾️◾️◾️◽️◽️◽️◽️◽️◽️◽️30%,Q3 2023,,On track ✅,
