Tags,ID,Title,Builders Tasks,Schedule For Term,Proposal Link
,,Lead Suggestions,,,https://dao.joystream.org/#/proposals/preview/
,869,Term 28 Lead Bonuses,,,https://dao.joystream.org/#/proposals/preview/869
,867,Rhodes #29 Council Plan,,,https://dao.joystream.org/#/proposals/preview/867
