Title,Topic,Status,Date,URL,Assigned,Related to JS DAO Workers sheet (Tasks),Related to JS DAO Workers sheet (Tasks) 1
Handover schedule,Workflows,Archived discussion,,https://pioneerapp.xyz/#/forum/thread/373,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21)","0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)"
Handover Meeting Flow,Workflows,Approved,26/05/2023,https://pioneerapp.xyz/#/proposals/preview/331,jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21),jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21),Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)
Get More Info On JSG And Gateways Plans,Plans,Failed,27/02/2023,https://pioneerapp.xyz/#/proposals/preview/160,,,
Gateways' Development Roadmaps Required,Plans,Failed,28/02/2023,https://pioneerapp.xyz/#/proposals/preview/166,,,
Gateway's Development Roadmap Required,Plans,Failed,28/02/2023,https://pioneerapp.xyz/#/proposals/preview/165,,,
FWG Plan Template,Workflows,Failed,10/01/2023,https://pioneerapp.xyz/#/proposals/preview/37,,,
https://pioneerapp.xyz/#/forum/thread/344,Workflows,Archived discussion,,https://pioneerapp.xyz/#/forum/thread/344,"klaudiusz (https://www.notion.so/klaudiusz-a4de2049c4cf4b28adf036272ad4f31c?pvs=21), ferdikesh_studio (https://www.notion.so/ferdikesh_studio-e45ae0233d8945b2a37b65d64e5ced1e?pvs=21)","klaudiusz (https://www.notion.so/klaudiusz-b0c2f2cf85f04c3bbe567670357492c9?pvs=21), ferdikesh_studio (https://www.notion.so/ferdikesh_studio-bd37b5e0817f4a08999870667b84a79e?pvs=21)","Untitled (https://www.notion.so/2241003c2595450f819424b373974708?pvs=21), Untitled (https://www.notion.so/36c15d8f232648618f5a2afa60d5ad87?pvs=21)"
Exchange Research,Plans,Approved,15/01/2023,https://pioneerapp.xyz/#/proposals/preview/52,,,
https://pioneerapp.xyz/#/forum/thread/271,Workflows,Archived discussion,,https://pioneerapp.xyz/#/forum/thread/271,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)
Development Teams,Workflows,Approved,31/03/2023,https://pioneerapp.xyz/#/proposals/preview/222,,,
