Title,Builders Tasks,ID,Proposal Link,Schedule For Term,Tags
Rhodes #29 Council Plan,,867,https://dao.joystream.org/#/proposals/preview/867,,
Term 28 Lead Bonuses,,869,https://dao.joystream.org/#/proposals/preview/869,,
Lead Suggestions,,,https://dao.joystream.org/#/proposals/preview/,,
