Property,Builders Task,Council Term,Council Terms,Date,Testnet / Mainnet
Rhodes 29,"Untitled (https://www.notion.so/044c65d413164d82a2700b16aeeffab7?pvs=21), Untitled (https://www.notion.so/5caeea1ea7464d37a7e28bf26d03821b?pvs=21), Untitled (https://www.notion.so/6e0a364b7878412a91a2f293b3a99438?pvs=21), Untitled (https://www.notion.so/9b1c2714fc3b43d9b360f429a71f39c0?pvs=21), Untitled (https://www.notion.so/a835188238b34fbbb813fa443e3cf31e?pvs=21), Untitled (https://www.notion.so/c3ec116b22994da8a9cdfa38cbc269e2?pvs=21), Untitled (https://www.notion.so/cec0c6b13c7e4c3c9a259b2d7d085b57?pvs=21), Untitled (https://www.notion.so/e0246aa079df42d0a6cce7bec7c6934e?pvs=21)",38,,"October 21, 2022 → October 28, 2022",Testnet
Rhodes 30,"Untitled (https://www.notion.so/09ad10cd5dc74d8f9565522688bbcae4?pvs=21), Untitled (https://www.notion.so/16e312987f0846d58f65d803876b177a?pvs=21), Untitled (https://www.notion.so/2b32aff3931943d8b2e71292d7aed5ee?pvs=21), Untitled (https://www.notion.so/3000651b43bb4b76b94f793206c06a4e?pvs=21), Untitled (https://www.notion.so/3a647d69592d435993f3686022d4c2e3?pvs=21), Untitled (https://www.notion.so/3c935e3c78ee49e4b0d50b886e2305d0?pvs=21), Untitled (https://www.notion.so/641f6db8577b4b4bb4655c5efc98c391?pvs=21), Untitled (https://www.notion.so/69d7cb08f75248b4912ed459e5bda0d4?pvs=21), Untitled (https://www.notion.so/8883f612d4524c02bf6b7ad0ca608a1e?pvs=21), Untitled (https://www.notion.so/bc7ecb49e49647fc9431a47aa4de284d?pvs=21), Untitled (https://www.notion.so/ccc656d6bea54624ba8c7409acba5ecd?pvs=21), Untitled (https://www.notion.so/dda48f31f741408da949b2a4bf6c38d9?pvs=21), Untitled (https://www.notion.so/faba2f3913e54541bd29a5d1350529d1?pvs=21)",39,,"October 28, 2022 → November 4, 2022",Testnet
Rhodes 31,"Untitled (https://www.notion.so/09ad10cd5dc74d8f9565522688bbcae4?pvs=21), Untitled (https://www.notion.so/16e312987f0846d58f65d803876b177a?pvs=21), Untitled (https://www.notion.so/2b32aff3931943d8b2e71292d7aed5ee?pvs=21), Untitled (https://www.notion.so/3000651b43bb4b76b94f793206c06a4e?pvs=21), Untitled (https://www.notion.so/3a647d69592d435993f3686022d4c2e3?pvs=21), Untitled (https://www.notion.so/3c935e3c78ee49e4b0d50b886e2305d0?pvs=21), Untitled (https://www.notion.so/641f6db8577b4b4bb4655c5efc98c391?pvs=21), Untitled (https://www.notion.so/69d7cb08f75248b4912ed459e5bda0d4?pvs=21), Untitled (https://www.notion.so/8883f612d4524c02bf6b7ad0ca608a1e?pvs=21), Untitled (https://www.notion.so/b021ca3645d04172b9849b32644195d2?pvs=21), Untitled (https://www.notion.so/bc7ecb49e49647fc9431a47aa4de284d?pvs=21), Untitled (https://www.notion.so/ccc656d6bea54624ba8c7409acba5ecd?pvs=21), Untitled (https://www.notion.so/dda48f31f741408da949b2a4bf6c38d9?pvs=21), Untitled (https://www.notion.so/faba2f3913e54541bd29a5d1350529d1?pvs=21), Untitled (https://www.notion.so/ecf9dda021c6462ba55bd1d9b40c0c82?pvs=21), Untitled (https://www.notion.so/c806454360254f6a89df1505e78358d0?pvs=21), Untitled (https://www.notion.so/7602fbe17c2c456c8446a7b2c48ccc93?pvs=21), Untitled (https://www.notion.so/6142e9d2faf64105be477f50c7dd9ede?pvs=21)",40,,"November 4, 2022 → November 11, 2022",Testnet
Mainnet 3rd term,,3,3 (https://www.notion.so/3-0d885190e3c14f048ed8361ea840513f?pvs=21),"January 17, 2023 → February 1, 2023",Mainnet
Mainnet 2nd term,,2,2 (https://www.notion.so/2-46067acd930d4d42964fcc1b59b423c6?pvs=21),"January 3, 2023 → January 17, 2023",Mainnet
Mainnet 4th term,,4,4 (https://www.notion.so/4-87a3846a3d1b481b9313e85b6046108d?pvs=21),"February 2, 2023 → February 16, 2023",Mainnet
,,,,,
Mainnet 5th term,,5,5 (https://www.notion.so/5-ca3de4c3062b41b782980f879475a9af?pvs=21),"February 17, 2023 → March 3, 2023",Mainnet
Mainnet 7th term,,7,7 (https://www.notion.so/7-3b5983b44b7243b2869986f6c878ab45?pvs=21),"March 19, 2023 → April 2, 2023",Mainnet
Mainnet 6th term,,6,6 (https://www.notion.so/6-6b48eda28e404cacb6eb22f232b1e00a?pvs=21),"March 3, 2023 → March 18, 2023",Mainnet
Mainnet 8th term,,8,8 (https://www.notion.so/8-02d24f7a0f9b4500821c2008809ecf56?pvs=21),"April 2, 2023 → April 17, 2023",Mainnet
Mainnet 12th term,,12,12 (https://www.notion.so/12-5b7e62a60dfb46ba9411bad1bf2d60d9?pvs=21),"June 2, 2023 → June 17, 2023",Mainnet
Mainnet 9th term,,9,9 (https://www.notion.so/9-cbba2b718fcb4c8fa3dfc5ff4d4a1b32?pvs=21),"April 17, 2023 → May 2, 2023",Mainnet
Mainnet 10th term,,10,10 (https://www.notion.so/10-163e57d88cbc4af0aacdf3eeb52188d3?pvs=21),"May 2, 2023 → May 17, 2023",Mainnet
Mainnet 11th term,,11,11 (https://www.notion.so/11-d37f0a4c68a5492a82158a79401a6c09?pvs=21),"May 17, 2023 → June 1, 2023",Mainnet
Mainnet 13th term,,13,13 (https://www.notion.so/13-37bce6dfc9a544ce961603b028f374a7?pvs=21),"June 18, 2023 → July 2, 2023",Mainnet
Mainnet 14th term,,14,14 (https://www.notion.so/14-d7f486000dd14f59915bd0e98740b12f?pvs=21),"July 3, 2023 → July 18, 2023",Mainnet
,,,,,
Mainnet 15th term,,15,15 (https://www.notion.so/15-2a72053e1d60439aa084bf691c112931?pvs=21),"July 18, 2023 → August 1, 2023",Mainnet
Mainnet 16th term,,16,16 (https://www.notion.so/16-2e24c5fd78aa4790b6451467679df7fb?pvs=21),"August 1, 2023 → August 15, 2023",Mainnet
Mainnet 17th term,,17,17 (https://www.notion.so/17-24d9295b24d448908e6b374ee2a951dd?pvs=21),"August 15, 2023 → August 30, 2023",Mainnet
Mainnet 18th term,,18,18 (https://www.notion.so/18-32eeabaf028c48a2a949dd70eb5723ef?pvs=21),"August 31, 2023 → September 16, 2023",Mainnet
Mainnet 19th term,,19,19 (https://www.notion.so/19-c48559e27e1e4e05b6cce62f40e94f4b?pvs=21),"August 31, 2023 → September 16, 2023",Mainnet
Council Report - Term #21,,21,21 (https://www.notion.so/21-2850ab3be6c8462ea859c0c7bccaf752?pvs=21),"October 16, 2023 → October 30, 2023",Mainnet
Council Report - Term #20,,20,20 (https://www.notion.so/20-99999139906940b7b553713d2b364a10?pvs=21),"October 1, 2023 → October 15, 2023",Mainnet
Council Report - Term #22,,22,22 (https://www.notion.so/22-241b5aa47f3a411db99065790ab56fde?pvs=21),"October 30, 2023 → November 14, 2023",Mainnet
Council_Report - Term #23,,23,23 (https://www.notion.so/23-86dff96c0e6f4086b6be3c398d29fe43?pvs=21),"November 14, 2023 → November 29, 2023",Mainnet
,,,,,
Council_Report - Term #24,,24,24 (https://www.notion.so/24-21464af3b7484d74b7500c20715d686c?pvs=21),"November 29, 2023 → December 14, 2023",Mainnet
,,,,,
