Name,Agenda,Attendance,Date,Duration,Facilitator,Forum Thread,Moderator,Recording,Status,Tags,Transcript,Venue
18th Council Handover Meeting,"Agenda for 18th Council Handover Meeting:
- Council Status Update
- Working Group update
- Recommendation for current term council
- Discussion
- Budgeting
- Other affairs
- Questions & Enquiry","MayorTee, Chaos77, Codefikeyz, Jenny, Martin, Igrex, Hanzo, Grimsavage, Bezyoffcial, L1.media, Leet_Joy, Songoku, Yasir","September 1, 2023",1 hour 15 mins,,https://pioneerapp.xyz/#/proposals/preview/331,"@Codefikeyz ",https://gleev.xyz/video/93192,Done,"Community Call, Council, Governance, Human Resource, MWG Lead, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice channel
17th Council mid-term meeting,"- WGs plans
- Progress and any unresolved issues
- BWG Compensation Plans
- SWG/DWG Salaries and Server cost compensation","MayorTee, Adovrn, Bedeho, Chaos77, Codefikeyz, Dzidex, Freakstatic, Genius, Jenny, Klaudiusz.eth, L1.media, Leet_Joy, Mariia, NuclearGandhi, Sieemma, Songoku Tomato, Vikan, Yasir","August 23, 2023",43 Mins,,,"@abramaria_ ",https://gleev.xyz/video/82038,Done,"Community Call, Council, Governance, Human Resource, MWG Lead, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice channel
18th Council mid-term meeting,"Agenda:
- New plan & report flow
- Q3 OKR analysis and Q4 OKR planning
- What can we do to foster better working environment in DAO
- DAO spending discussion:
- Should we increase spending or not
- Should we continue paying in fixed $JOY numbers or in fixed USD value","Martin
Chaos
Codefikeyz
Councsellor
Genius
Hanzo
Konpedalni
MayorTee
Songoku
Tomato
Vikan
Yasir
Bezyofficial
Igrex
L1media
Klauduisz
Hanzo
0x2bc
ARS (Octopus)
Ikskrn","September 7, 2023",1 Hour +,,,"@Codefikeyz ",https://gleev.xyz/video/106542,Done,"Community Call, Council, Governance, Human Resource, MWG Lead, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice channel
19th Term Council Handover Meeting,"Agenda:
• Council Status Update
• WG Update
• Recommendation
• Discussion
    ◦ DAO treasury
    ◦ Q4 OKR
    ◦ Runtime
    ◦ Finance Structure
• Q & A","Martin
Chaos77
Codefikeyz
Genius
Hanzo
MayorTee
Songoku
Tomato
Vikan
Yasir
Bezyofficial
Igrex
Klauduisz
Hanzo
0x2bc","September 18, 2023",1 Hour +,,,"@Codefikeyz ",N/A,Done,"Community Call, Council, Governance, Human Resource, MWG Lead, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice 1 channel
19th Council Mid-term Meeting,"Agenda:
- Runtime parameters (final)
- Q4 OKR (final) 
- Multisig election result (final) 
- DAO budgeting & inflation control
- OTC deal procedure (final)
• Q & A","Bedeho
Martin
Chaos77
Codefikeyz
Genius
Hanzo
MayorTee
Songoku
Tomato
Vikan
Yasir
Bezyofficial
Igrex
Klauduisz
Hanzo
0x2bc","September 22, 2023",1 Hour +,,,"@Codefikeyz ",N/A,Done,"Community Call, Council, Governance, Human Resource, MWG Lead, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice 1 channel
20th Term Council Handover meeting,"Agenda:
Council #19
• summary
• recommendations
Working groups

• Term 19  reports
• Term 20 plans

Topics for discussions
• Q4 OKRs integration (discussion on group-wise term OKRs)
• SWG/DWG compensation model (review https://pioneerapp.xyz/#/proposals/preview/505, discuss pros/cons, suggest improvements)
• Gnosis SAFE - introduce and discuss the refill process
• NARA upgrade (discuss council stake increase )
• HRWG (do we need extra hires for creators' support?)","Codefikeyz
Genius
MayorTee
Songoku
Tomato
Vikan
Yasir
Igrex
Klauduisz
0x2bc
Spat_sochi
Thegrimsavage
Leet_Joy","October 2, 2023",2 hours,,,"@Codefikeyz ",N/A,Done,"Council, Governance, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice 1 channel
20th Term Council Mid-tern meeting,"Agenda:
- Progress on working group plans
- Review of Q4 OKRs","Codefikeyz
Genius
MayorTee
Songoku
Tomato
Vikan
Igrex
Klauduisz
0x2bc
Spat_sochi
Beyonddahorizon
Leet_Joy
ARS
Tariqul","October 9, 2023","3hours ",,https://pioneerapp.xyz/#/proposals/preview/552,"@Codefikeyz ",N/A,Done,"Council, Governance, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice 1 channel
21st Council Handover Meeting,"Agenda:
- Council #20 Summary
- Recommendations
- Q4 OKRs Status
- WG Budget Planning (CWG, HR, MWG)","Codefikeyz
Genius
MayorTee
Songoku
Tomato
Vikan
Igrex
Klauduisz
0x2bc
Spat_sochi
Leet_Joy
Yasir
Jamaicanproptrader","October 17, 2023",1hour +,,,"@Codefikeyz ",N/A,Done,"Council, Governance, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice 1 channel
21st Council Handover Meeting,"Agenda:
- Council #20 Summary
- Recommendations
- Q4 OKRs Status
- WG Budget Planning (CWG, HR, MWG)","Codefikeyz
Genius
MayorTee
Songoku
Tomato
Vikan
Igrex
Klauduisz
0x2bc
Spat_sochi
Leet_Joy
Yasir
Jamaicanproptrader","October 17, 2023",1hour +,,,"@Codefikeyz ",N/A,Done,"Council, Governance, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice 1 channel
21st Council Mid-term Meeting,"Agenda:
An assessment of progress on the term plans is up for discussion
• WG lead assessment
• Worker Condition Survey by HR
• Atlas playback problem and solutions
• Including USD valuation of budgets in reports and plans.","Mayor Tee
Codefikeys
Vikan
0x2bc
Bezy official
Leet_joy
Boarderless
Jamaican prop trader
Songoku
Spat_ Sochi
Hanzo hazashi
Igrex
Yasir
Tariqul","October 23, 2023",1hour +,,,"@Codefikeyz ",N/A,Done,"Council, Governance, OKRs, Plans, WG Leads, Working Groups",N/A,Community Voice 1 channel
22nd Council Handover Meeting,"Agenda:
Council #21
- summary
- recommendations
Working groups
- Term 21 reports
Discussion
- DAO treasury
- Q4 OKR Status
- Query Node Issue impact","Mayor Tee
Codefikeys
Vikan
Jemuel
Khlaudiusz
Siemma
Tariqul
Chaos77
0x2bc
Leet_joy
Songoku
Spat_ Sochi
Hanzo hazashi
Igrex
Yasir
Xandrell","October 31, 2023",1hour +,,,"@Codefikeyz ",N/A,Done,"Council, Governance, OKRs, WG Leads, Working Groups",N/A,Community Voice 1 channel
22nd Council Midterm Meeting,"Agenda:
• Evaluating OKRs
• Reviewing the Roadmap
• Project Management Software","Mayor Tee
Codefikeys
Vikan
Khlaudiusz
Tariqul
Chaos77
0x2bc
Leet_joy
Songoku
Spat_ Sochi
Hanzo hazashi
Igrex
Yasir
Bedeho
Eclipsingbinary
Jermaine_222
Arsi
Beyonddahorizon
Prontera
Genius","November 7, 2023",1hour +,@0x2bc,,"@Codefikeyz ",N/A,Done,"Council, Governance, OKRs, WG Leads, Working Groups",N/A,Community Voice 1 channel
23rd Council Candidates Fireside chat,,"Mayor Tee
Vikan
Klaudiusz
Tariqul
Chaos77
Leet_joy
Songoku
Spat_ Sochi
Yasir
Igrex
Eclipsingbinary","November 9, 2023",43mins,,,"@Codefikeyz ",N/A,Done,"Council, Council Candidates, Fireside Chat, Governance",N/A,Community Voice 1 channel
Storage operations and Content Distribution Network,Storage operations and Content Distribution Network,"vikan
codefikeyz
0x2bc
igrex
mayortee
genius
spat_sochi","November 10, 2023",54mins,@Yasir,,Codefikeyz,N/A,Done,"Storage Operations, Training, Workshops",N/A,Community Voice 1 channel
Discussion on CanaDAO Proposal,"Agenda:
Internal discussion on CanaDAO proposal on using our CDN","0x2bc
Codefikeys 
Jenny
Leet
Klaudiusz
Igrex
Marikjudo 
Genius
Mrbovo 
Tomato 
Yasir","January 5, 2024",35 mins+,0x2bc,,"@Codefikeyz ",N/A,Done,"Council, Governance, WG Leads, development",N/A,Community Voice 1 channel
Storage operations and Content Distribution Network,Storage operations and Content Distribution Network,"vikan
codefikeyz
0x2bc
igrex
mayortee
genius
spat_sochi","November 10, 2023",54mins,@Yasir,,Codefikeyz,N/A,Done,"Storage Operations, Training, Workshops",N/A,Community Voice 1 channel
23rd Council Handover Meeting,"Agenda:
Council #22
- Summary 
Working groups
- Term 22 reports
Council #22
- Recommendation
Topics for Discussion
- Liquidity Provision
- Use of humming bot in USDT acquisition for DAO treasury
- How to access the OKRs/Roadmap page on Notion (postponed)","Mayor Tee
0x2bc
12hk21
arsi44
Bedeho
Codefikeys
eclipsingbinary
Freakstatic
Genuis
Igrex
Jenny
Klaudiusz.eth
Leet_joy
Songoku
Spat_sochi
Vikan
Yasir","November 16, 2023",1hour +,"@0x2bc,@Jen4ph,@leet_joy",,"@Codefikeyz ",https://drive.google.com/file/d/1JeVRoPk6zQyjHpi44x0qDZYee2lraJMX/view?usp=drive_link,Done,"Council, Governance, OKRs, Reports, WG Leads, Working Groups",N/A,Community Voice 1 channel
,,,,,,,,,Not started,,,
23rd Council Mid-term Meeting,"Agenda:
• Reviewing the Roadmap
• Evaluating OKRs
• Council Plan
• Working Group Plan","Mayortee
0x2bc
Bezy Official
Chaos77
Codefikeyz
Eclipsingbinary
Genius
Igrex
Jenny
Klauduisz
Leet_Joy
Polaris
Songoku
Spat_sochi
Thegrimsavage
Tomato
Vikan","November 23, 2023",1hour +,@0x2bc,,"@Codefikeyz ",,Done,"Council, Governance, OKRs, Reports, Roadmap, WG Leads, Working Groups",N/A,Community Voice 1 channel
24th Council Handover Meeting,"Agenda:
• Council Status Update
• WG Update
• Roadmap & Q4 OKR Update
• Recommendation
• Discussion
    ◦ Presentation of Content Creators Survey for NPS
• Q & A","Mayortee
0x2bc
Chaos77
Codefikeyz
Eclipsingbinary
Genius
Jenny
Klauduisz
KratistOS
Leet_Joy
Songoku
Spat_sochi
Tomato
Vikan
Yasir","December 1, 2023",1hour +,Jenny,,"@Codefikeyz ",,Done,"Council, Governance, OKRs, Reports, Roadmap, WG Leads, Working Groups",N/A,Community Voice 1 channel
24th Council Midterm Meeting,"Agenda:
- Working Group Plan Review
- Roadmap and OKRs Review
- Q & A","Jenny
Marikjudo
Codefikeyz
Leet_joy
0x2bc
Mrbovo
Spat_sochi
Thesan
Klaudiusz
Vikan
Alexander sourwater
MayorTee
Songoku
Mikael eprain
TheGrimSavage","December 7, 2023",1hour +,Jenny,,"@Codefikeyz ",,Done,"Council, Governance, OKRs, Roadmap, WG Leads",N/A,Community Voice 1 channel
25th Council Handover Meeting,"Agenda:
- Council Status Update
- WG Update
- Roadmap & Q4 OKR Update
- Recommendation
- Discussion
- Joystream Website Translation
- HR Workers salary structure
- Q & A","Jenny
Codefikeyz
Leet_joy
0x2bc
Mrbovo
Spat_sochi
Thesan
Klaudiusz
Vikan
MayorTee
Songoku
TheGrimSavage","December 18, 2023","1hour ","Jenny, 0x2bc",,"@Codefikeyz ",https://drive.google.com/file/d/1j1-7aNToHk_tOmLi5g6RPSONSYActumz/view?usp=drive_link,Done,"Council, Governance, OKRs, Roadmap, WG Leads",N/A,Community Voice 1 channel
Q1 OKR Strategic Meeting Part 1 and 2,"Agenda:
- Q1 2024 OKR","0x2bc
$MayorTee
Alexander Sourwater
Codefikeyz
eclipsingbinary
Genius
I am Ars
Igrex
Ilich
Jemuel12
Jenny
klaudiusz.eth
leet_joy
mrbovo.eth
prontera.
Sazy
songoku
spat_sochi
Tariqul
thesan5119
tomato
vikan
YYAGI","December 28, 2023",3hours+,0x2bc,,"@Codefikeyz ","Part 1 - https://drive.google.com/file/d/18Yw3Yz6RMF56bMta8s_HD0kyX48SK-nS/view?usp=drive_link

Part 2 - https://drive.google.com/file/d/194B4vU8jOr7sGwVVjxlE_OL9xDX_23VQ/view?usp=drive_link",Done,"Council, Governance, OKRs, Roadmap, WG Leads",N/A,Community Voice 1 channel
OKR Strategic Meeting III,Q1 2024 OKRs Discussion,"Codefikeys
Jenny
Leet_Joy
Genius
klaudiusz
Marikjudo
Mrbovo
Spat_sochi
Tariqul
Tomato
Yasir
Vikan
Igrex
Songoku
0x2bc
Mayortee
eclipsingbinary","January 9, 2024",42mins,0x2bc,,"@Codefikeyz ",,Done,"Council, Governance, OKRs, WG Leads",N/A,Community Voice 1 channel
26th Council Handover Meeting,"Agenda:
- Council Status Update
- WG Update
- Roadmap & 2023 Q4 OKR Update
- Recommendation
- Discussion
- Q1 2024
- Q & A","Jenny
Codefikeyz
Leet_joy
0x2bc
Mrbovo
Spat_sochi
Thesan
Klaudiusz
Vikan
MayorTee
Songoku
TheGrimSavage
Igrex","January 2, 2024",1hour +,"Jenny, 0x2bc",,"@Codefikeyz ",https://drive.google.com/file/d/11VNkrfbB6c-eh8lVpdAwjnMpiOgeFFlF/view?usp=drive_link,Done,"Council, Governance, OKRs, Roadmap, WG Leads",N/A,Community Voice 1 channel
29th Council Midterm Meeting,"Agenda:
- Council & Revised WG plan update
- DAO WG restructuring/consolidation
- Q1 2024 OKRs
- New potential role(s) in the DAO
","0x2bc
Codefikeys
Dimitry
Igrex
Juchebong
Klaudiusz
Leet
Marikjudo
Mrbovo
Richard
Thesan
Vikan
Yasir
Genius 
Freakstatic","February 21, 2024",2hours +,0x2bc,,"@Codefikeyz ",,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
26th Council Midterm Meeting,"Agenda:
- Q4 OKR Review","Codefikeys
Spat
Genius
Klauduisz
Leet
Marikjudo
Jenny
Songoku
Tariqul
Tomato
Yasir
Vikan
Umar chike
0x2bc
eclipsingbinary
Mr.Bovo","January 8, 2024",1hour +,0x2bc,,"@Codefikeyz ",,Done,"Council, Governance, OKRs, Roadmap, WG Leads",N/A,Community Voice 1 channel
27th Council Handover Meeting,"Agenda:
- Council summary
- WG status
- Council recommendations
- discussions/questions etc
- Q & A
","0x2bc
Jenny
Counsellor
Hanzo Hazashi
Eclipsingbinary
Klauduisz
LeetJoy
Marikjudo
MrBovo
Songoku
Spat_sochi
Vikan
Yasir

","January 16, 2024",41mins,"0x2bc, Jenny",,"@Codefikeyz ",,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
27th Council Midterm Meeting,"Agenda:
- Council Plan
- Working Group Plan
- Q & A","Codefikeys
Dymitry
Eclipsingbinary
Genius
Jenny
Klaudius
Leet
Marikjudo
Ilich
Mrbovo
Songoku
Spat
Yasir
Hanzo
Igrex
Marikjudo
Oxbigwinxz
Councilor
Mayortee
Dzidex
Hypolithe
Vikan
Freakstatic
Bezzyofficial
siemma","January 22, 2024",1 Hour+,Tomato,,"@Codefikeyz ",,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
