Name,Agenda,Attendance,Date,Duration,Facilitator,Forum Thread,Moderator,Recording,Status,Tags,Transcript,Venue
31st Council Midterm Meeting,"Agenda:
Restructure and update existing Joystream roadmap","0x2bc
Codefikeyz
Dimitry
Freakstatic
Genius
Jenny
Klaudiusz
Leet_joy
Marikjudo
Mrbovo
Tomato
Vikan
YYAGI","April 3, 2024",1 hour+,Jenny x 0x2bc,,Codefikeyz,,Done,"Council, Governance, OKRs, WG Leads",N/A,Community Voice 1 channel
38th Council Midterm Meeting,"Agenda:
- Tech development roadmap and update","Lezek
Freakstatic
Leetjoy
Codefikeyz
Vikan
Spat_sochi
Genius
Ilich
Thegrimsavage","October 16, 2024",< 1 hour,Leet_joy,,leet_joy,,Done,"Gleev, Roadmap, Tools, YPP, builders, development",N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"0x2bc
Codefikeys
Dmtrmltsv
Genius
Leet
Richard 
Vikan","April 29, 2024",< 1 Hour,Dimitry,,Dimitry,,Done,"Community Engagement, Council, Curators, Gleev, Plans, YPP",N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"Dimitri
Marikjudo
Codefikeyz
Wizzybank","May 13, 2024",< 1 Hour,Dimitry,,Dimitry,,Done,"Community Engagement, Council, Curators, Gleev, Plans, YPP",N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"0x2bc
Codefikeys
Dimitri
Marikjudo
Spat
Tomato
vikan","May 22, 2024",< 1 Hour,Dimitry,,Dimitry,,Done,"Community Engagement, Council, Curators, Gleev, Plans, YPP",N/A,Community Voice 1 channel
Argo Bridge Call,Agenda: Argo Bridge Dev. and  Launch,"0x2bc
Codefikeyz
Genius
Igrex
Vikan
Leet_joy
Klaudiusz","August 22, 2024",< 1 Hour,Klaudiusz,,Kladiusz,,Done,"Bridging, Council, Roadmap, builders, development",N/A,Community Voice 1 channel
Joystream Strategy Meeting,Agenda: Joystream Strategy Meeting,"0x2bc
B$
Codefikeyz
Decentralized world
Dimitri
Dzidex
Genius
isItbathtime
Klaudius
Leet
Marikjudo
Mrbovo
Spat
Tomato
Vikan
Wizzybank
Yasir
Zeljko ","June 5, 2024",1 hour+,"0x2bc, Bedeho",,0x2bc,,Done,"Community Call, Council, Gleev, OKRs, YPP, development, marketing",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"0x2bc
Codefikeys
Dimitri
Dzidex
Genius
Juchenbong
Leet
Marikjudo
Mrbovo
Spat
Tomato
vikan","May 28, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
32nd Council Midterm Meeting,"Agenda:
- Working group update
- Finalise Q1 OKR review
- Q2 OKR planning","0x2bc
Codefikeys
Dimitri
Genius
Jenny
Leet
Marikjudo
Mrbovo
Vikan
Omer\
Freakstatic","April 30, 2024",1 hour+,0x2bc,,Codefikeyz,,Done,"Council, Governance, OKRs, WG Leads",N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"Dimitry
0x2bc
Igrex
Leet
Tomato
Codefikeys
wizzybanks26
Marikjudo
vikan","May 27, 2024",< 1 Hour,Dimitry,,Dimitry,,Done,"Community Engagement, Council, Curators, Gleev, Plans, YPP",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Codefikeyz
Leet_joy
Tomato
0x2bc
Elevent studio
feya_oshikuu
Vikan","June 18, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Leetjoy
Bedeho
Marikjudo
Codefikeyz
Vikan
Tomato","June 26, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
34th Council Handover Meeting,"Agenda:
• Council summary
• WG status
• Council recommendations
• Discussions
• Q & A","0x2bc
Codefikeys
Genius
Ilich
Leet
Marikjudo
Spat
Tomato
Mrbovo
Vikan
Wizzybankz26
Decentralized world
Yasir","June 10, 2024",1 hour+,"Leetjoy, 0x2bc",,Codefikeyz,,Done,"Council, OKRs, Working Groups",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Leet
0x2bc
Codefikeyz
Dimitri
Marikjudo
Spat
Tomato
genius
Vikan","July 2, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"Dimitry
0x2bc
Leet
Tomato
Codefikeyz
Marikjudo
vikan","June 27, 2024",< 1 Hour,Dimitry,,Dimitry,,Done,"Community Engagement, Council, Curators, Gleev, Plans, YPP",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Leet
0x2bc
Codefikeyz
Dimitri
Freya_oshiku
Jenny
Klaudiush
Marikjudo
Genius
memektai
Spat
Vikan","July 9, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
34th Council Midterm Meeting,"Agenda:
- Q2 OKR Review","0x2bc
Codefikeys
Decentralized world
Dimitri
Leet
Marikjudo
Mrbovo
Tomato
Klaudius
Thegrimsavage
Genius","June 20, 2024",1 hour+,0x2bc,,Codefikeyz,,Done,"Council, Governance, OKRs, WG Leads",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Leet
0x2bc
Codefikeyz
Dimitri
Igrex
Jenny
Klaudiusz
Marikjudo
Altaf
Spat_sochi
Vikan","July 16, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
Weekly Marketing Call,"Agenda: 
- Marketing Operations
- Ambassador program phase 3","Codefikeyz
Leetjoy
Marikjudo
Vikan
Spat_sochi
Ilich","October 8, 2024",< 8 mins,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
35th Council Handover Meeting,"Agenda:
• Council summary
• WG status
• Council recommendations
• Discussions
• Q & A","0x2bc
Codefikeyz
Dimitri
Genius
Jenny
Leet
Marikjudo
Freya_oshikuu
Revolusi crypto
Wizzybanka26
Yasir
Tomato
Vikan","July 8, 2024",1 hour+,"Leetjoy, 0x2bc, Tomato",,Codefikeyz,,Done,"Council, OKRs, Working Groups",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"0x2bc
Codefikeyz
Jenny
Leet
Marikjudo
Spat_sochi","July 23, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
Argo Bridge Call,Agenda: Argo Bridge Dev. and  Launch,"0x2bc
Codefikeyz
Eclipsingbinary
Dimitri
Marikjudo
Jenny
Leet_joy
Igrex
Genius
Klaudiusz","July 25, 2024",< 1 Hour,Klaudiusz,,Kladiusz,,Done,"Bridging, Council, Roadmap, builders, development",N/A,Community Voice 1 channel
35th Council Midterm Meeting,"Agenda:
- Q2 OKR Final Review","0x2bc
Leet
Klaudius
Mrbovo
Yasir
Jenny
Dimitri
Genius","July 17, 2024",1 hour+,0x2bc,,Codefikeyz,,Done,"Council, Governance, OKRs, WG Leads",N/A,Community Voice 1 channel
Argo Bridge Call,Agenda: Argo Bridge Dev. and  Launch,"0x2bc
Codefikeyz
Eclipsingbinary
Leet_joy
Igrex
Klaudiusz","August 8, 2024",< 1 Hour,Klaudiusz,,Kladiusz,,Done,"Bridging, Council, Roadmap, builders, development",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"0x2bc
Codefikeyz
Eclipsingbinary
Leetjoy
Marikjudo
Vikan
DJMondo","August 6, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
Argo Bridge Call,Agenda: Argo Bridge Dev. and  Launch,"0x2bc
Codefikeyz
Mr. Bovo
Tomato
Leet_joy
Klaudiusz","August 16, 2024",< 1 Hour,Klaudiusz,,Kladiusz,,Done,"Bridging, Council, Roadmap, builders, development",N/A,Community Voice 1 channel
36th Council Handover Meeting,"Agenda:
- 35th Term highlights by council
- Council inquiry on Leads reports (if any)
- 35th Council recommendation
- Argo bridge Operation","0x2bc
Codefikeyz
Genius
Leetjoy
Eclipsingbinary
Klaudiusz
Mr. Bovo
Marikjudo
Yasir
Vikan","August 5, 2024",1 hour+,"Leetjoy, 0x2bc",,Codefikeyz,,Done,"Bridging, Council, OKRs, development",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"0x2bc
Codefikeyz
Klaudiusz
Yyaggi
Leetjoy
Marikjudo","August 21, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
37th Council Handover Meeting,"Agenda:
- 36th Term highlights by council
- Leads update
- Council inquiry on Leads reports (if any)
- 36th Council recommendation
- Discussion","Leetjoy
0x2bc
Codefikeyz
Jenny
Klaudiusz
Mr. Bovo
Tomato
Vikan
Catherine
Yassir
Genius","September 2, 2024",< 1 hour,"Leetjoy, 0x2bc, Jenny",,Codefikeyz,,Done,"Bridging, Council, OKRs, development",N/A,Community Voice 1 channel
Weekly Marketing Call,"Agenda: 
- Marketing Operations
- Content strategy/visibility improvement","Codefikeyz
Jenny
Leetjoy
Marikjudo
Vikan
Spat_sochi
Janine
Freakstatic
Decentralized world","September 24, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
36th Council Midterm Meeting,"Agenda:
- OKR Progress
- EMA30 Cap
- Workgroup Budget Optimization and Reduction","0x2bc
Leetjoy
Codefikeyz
Klaudiusz
Eclipsingbinary
Freya
Viksn
Genius
Wizzybankz","August 15, 2024",1 hour+,0x2bc,,Codefikeyz,,Done,"Council, Governance, OKRs, WG Leads",N/A,Community Voice 1 channel
38th Council Handover Meeting,"Agenda:
- Term highlights
- Updates
- Recommendation
- Discussion","Leetjoy
Codefikeyz
Jenny
Klaudiusz
Vikan
Genius
Decentralised world
Eclipsingbinary
0x2bc
Marikjudo
Spat_sochi
Wizzybankz","September 30, 2024",< 1 hour,"Leetjoy, Jenny",,Codefikeyz,,Done,"Council, OKRs, WG Leads, development",N/A,Community Voice 1 channel
