Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
General WG Score,HR,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%2056b8677c543f449d9484d13c07be7acd.md), WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%20463da1ca38674ec497cdb359694e5812.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%2008d9d2fd364c4dbe8b23189a76520f81.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%20395e2f53219749a08ad21bf5764a3e23.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%2083454f9beb8f4407a729e00ce62ea8fe.md)",HR Score (Council%2027/Council%20Period%2017/HR%20Score%2082007ec22d6d421a8529bacbd4593572.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%202ea3097e283d450e8dfa5168dba6b1d2.md), WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%20f15d8e4bd0d94c8683f06f03278963fc.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%2023d894ec46f146bfb3f926332add632e.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%204e4027bdcc124c73a191ffd68b8145e5.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%20d9e73fab3ea44d9488ba2b1c17c9b8c0.md)",Storage Score (Council%2027/Council%20Period%2017/Storage%20Score%2048540283c92041e28ae120ce49e6e8b0.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Marketing,GENERAL_WG_SCORE,,,"WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%203d77581b5d0a49159cfca93f32c176bb.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%205386c1a2e0f14016a5a7acebb2b55f34.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%20eba96dd9d6e94e50af525c387202bc46.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%208f903d47778f4c05bacc0993255e6ca7.md), WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%20692870fc9e2a4da3a3897ef4deb5702f.md), WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%207931acfcf53f47c48557df0735b5a88c.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%20a3c50dc9ea9d416791f83da7f6d7022e.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%2074cc3aa34d59457aa4ef215bfdcd0a02.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%206a9067fb9b544b9498bc3a1bf6cd64d9.md)",Forum Score (Council%2027/Council%20Period%2017/Forum%20Score%204dd356aa51b04e5fb6340c94f6b3ea46.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Builders,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%205cb764499f784f49b53bb353cd2331a7.md), WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%20c5836a5fcfd543d19c58a5c97bf19eb5.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%2023d894ec46f146bfb3f926332add632e.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%202b8caac159234533a3f1cba65f0d9527.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%202a44c1ea911d4469890dddd2a3efccd2.md)",Builder Score (Council%2027/Council%20Period%2017/Builder%20Score%20c35bc64d5f6c49849749c4c1f8de3eef.md),"Composite Grade, General WG Score, Subscore",Not Completed
General WG Score,Forum,GENERAL_WG_SCORE,,,"WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%20904658c511fc4814909b30f9cfe9ff57.md), WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%203d77581b5d0a49159cfca93f32c176bb.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%205386c1a2e0f14016a5a7acebb2b55f34.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%20eba96dd9d6e94e50af525c387202bc46.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%208f903d47778f4c05bacc0993255e6ca7.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%20a3c50dc9ea9d416791f83da7f6d7022e.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%2074cc3aa34d59457aa4ef215bfdcd0a02.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%206a9067fb9b544b9498bc3a1bf6cd64d9.md)",Forum Score (Council%2027/Council%20Period%2017/Forum%20Score%204dd356aa51b04e5fb6340c94f6b3ea46.md),"Composite Grade, General WG Score",Not Completed
WG Period Plan,Distributors,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%2050a7000aafe04e9fa33bc44304e1a89c.md),"Document, Forum Post, General WG Score, Grade, Proposal",Not Completed
WG Period Plan,Marketing,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%2007a954fb8ad6499595244b189bd7f525.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
Council Period Plan,Council,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%2027/Council%20Period%2017/Network%20Performance%20Score%20b72747fe246048eabc4acac48af256a3.md),"Document, Forum Post, Grade, Master Score, Proposal",Not Completed
WG Period Plan,Storage,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%20026732e6b6a347c0957f748b6778cecb.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Period Plan,Content,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%20e6d753f703d946bfba011f48e154ef21.md),"Document, Forum Post, General WG Score, Plan, Proposal",Not Completed
