Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
General WG Score,HR,GENERAL_WG_SCORE,0.607,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%20820bcbef740840bc841567e1786c009f.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%20d9ef80543b4840fca2a44313218a48cb.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%201f9e6bda48b34994b57229e612b9c02c.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%20c867abf1de67481c855fbbb77892af27.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%20da853d46c77647aabab186d91416342a.md)",HR Score (Council%2011/Council%20Period%2011/HR%20Score%20f282b71f1e514de5be6809072e19e6c1.md),"Composite Grade, General WG Score",Completed
General WG Score,Builders,GENERAL_WG_SCORE,0.727,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%20d1f30829120841a28ab52a71d3e7853b.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%20f8d57304a371458b87f6bfef419bf9bd.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%2098a56b5cb2074598a0b760d9bda346fe.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%208740560de2ba4468a2b15ce34ecc0736.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%20a9a22343d1c74722bcbf53e6f3cec35f.md)",Builder Score (Council%2011/Council%20Period%2011/Builder%20Score%20b2c8d19ffdcb4766ba1ad5078ba66a9c.md),"Composite Grade, General WG Score, Subscore",Completed
General WG Score,Marketing,GENERAL_WG_SCORE,0.421,,"WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%20072c2397ef4948af8343f45e70e304dd.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%203d08524bf079446c899e325a0602f94d.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%2028bcca9cc99f4441b7591d9b1649d17d.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%202e6f4482b90a4a6fa68ca998ac78ad0c.md), WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%208810e58410fc43088885422a5cceb3d4.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%20f2cb98fda3e54bf4b242737d9383c5b3.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%202e00d77a26c74d0c83e872e455823ddb.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%203f47209fe49a4d92a8e6da137d890a15.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%201c50777e865b46f9bedcd5d0c669cd0f.md)",Forum Score (Council%2011/Council%20Period%2011/Forum%20Score%2025e7daf61d4e41b4b2e3b7c80e1f24ad.md),"Composite Grade, General WG Score",Completed
General WG Score,Distributors,GENERAL_WG_SCORE,0.313,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%2060cc61a100694735ad3945feb6908774.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%204daf99d23a79430db64fc6c365092db8.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%201a24350aa8e8468c8e3ce4d97b590087.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%20ccf352576413442abbbbfdf8c79d7ce5.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%20fab6fb53fe8c42e9a49b95765cc811c4.md)",Distributor Score (Council%2011/Council%20Period%2011/Distributor%20Score%20668f361a5c0b4105889f5aabfed663b5.md),"Composite Grade, General WG Score",Completed
General WG Score,Storage,GENERAL_WG_SCORE,0.66,,"WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%2079482fc34b9846e086be477f548b7420.md), WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%20b6805edadea4426fa5e23163926f3239.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%2098a56b5cb2074598a0b760d9bda346fe.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%200a8e2b7b27574567901afaab5d840c14.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%2004723fc1839a4b39a97d27136f49f520.md)",Storage Score (Council%2011/Council%20Period%2011/Storage%20Score%20afb78d52beb24d74965d2df84f748f5c.md),"Composite Grade, General WG Score",Completed
Council Period Plan,Council,PLAN_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),"Document, Forum Post, Grade, Master Score, Proposal",Completed
WG Period Plan,Forum,PLAN_SCORE,0.7,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20dff7837737a142b7ac485a34cfb3944d.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Completed
WG Period Plan,Storage,PLAN_SCORE,0.7,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20bd8fc0e6d40c4ad49bd055e5ccd08c52.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Completed
WG Period Plan,Distributors,PLAN_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2028ddd6b219f3487e8a5f322cd0133089.md),"Document, Forum Post, General WG Score, Grade, Proposal",Completed
WG Period Plan,Marketing,PLAN_SCORE,0.4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20cf7fd270f2224d96a61ab6cb8eb7e159.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Completed
