Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores
Featuring Score,"Group Specific Scores, Subscore",,,FEATURING_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,Completed,,,Content Score (Council%2011/Council%20Period%2011/Content%20Score%20004119f9e07b44c9a77b2e142972c598.md),,0.444,,No,,,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Storage,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20bd8fc0e6d40c4ad49bd055e5ccd08c52.md),,0.7,,No,,,,
HR Report,"Group Specific Scores, Subscore",,,REPORT_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,Completed,"REPORT_SCORE (https://www.notion.so/REPORT_SCORE-ae777d12fe0441929d1aabf4248d1044?pvs=21) ",,HR Score (Council%2011/Council%20Period%2011/HR%20Score%20f282b71f1e514de5be6809072e19e6c1.md),,0.95,"On time, Only done on Notion",No,1159862,,,
Forum Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",https://dao.joystream.org/#/forum/thread/255,,REPORT_SCORE,Forum,,Completed,,,Forum Score (Council%2011/Council%20Period%2011/Forum%20Score%2025e7daf61d4e41b4b2e3b7c80e1f24ad.md),,0.8,On time,No,1161654,,,
Person Logging Score,"Group Specific Scores, Subscore",,,PERSON_LOGGING_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,Completed,,,HR Score (Council%2011/Council%20Period%2011/HR%20Score%20f282b71f1e514de5be6809072e19e6c1.md),,0.6,,No,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Subscore, Summary",,,SUMMARY_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2028ddd6b219f3487e8a5f322cd0133089.md),,0,No Submission found (at all),No,,,,
Recruiting Score,Group Specific Scores,,,RECRUITING_SCORE,Marketing,,Completed,,,,,1,,No,,,,
Council Period Parameters,,,,,JSG,,Completed,,,,https://dao.joystream.org/#/proposals/preview/252,,,No,1086348,,,
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,Completed,,,Content Score (Council%2011/Council%20Period%2011/Content%20Score%20004119f9e07b44c9a77b2e142972c598.md),,,,No,,,,
System,"Grade, Group Specific Scores, Subscore",,,SYSTEM_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,Completed,,,Storage Score (Council%2011/Council%20Period%2011/Storage%20Score%20afb78d52beb24d74965d2df84f748f5c.md),,0.625,,No,,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2028ddd6b219f3487e8a5f322cd0133089.md),,0.143,,No,,,,
Marketer Report,Group Specific Scores,https://dao.joystream.org/#/forum/thread/264,,REPORT_SCORE,Marketing,,Completed,,,,,0.2,,No,1175509,,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Storage,,Completed,,,Storage Score (Council%2011/Council%20Period%2011/Storage%20Score%20afb78d52beb24d74965d2df84f748f5c.md),,0.66,,No,,,,"WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%2079482fc34b9846e086be477f548b7420.md), WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%20b6805edadea4426fa5e23163926f3239.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%2098a56b5cb2074598a0b760d9bda346fe.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%200a8e2b7b27574567901afaab5d840c14.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%2004723fc1839a4b39a97d27136f49f520.md)"
WG Opportunities,"Document, Forum Post, General WG Score, Grade",,,WORKER_OPPORTUNITIES_SCORE,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20dff7837737a142b7ac485a34cfb3944d.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20cf7fd270f2224d96a61ab6cb8eb7e159.md)",,0.5,,No,,,,
Inadequate Report,Catastrophic Errors,,,,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/marketers-score#inadequate-report,Completed,,,,,,,No,,,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Completed,,,Distributor Score (Council%2011/Council%20Period%2011/Distributor%20Score%20668f361a5c0b4105889f5aabfed663b5.md),,0.313,,No,,,,"WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%2060cc61a100694735ad3945feb6908774.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%204daf99d23a79430db64fc6c365092db8.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%201a24350aa8e8468c8e3ce4d97b590087.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%20ccf352576413442abbbbfdf8c79d7ce5.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%20fab6fb53fe8c42e9a49b95765cc811c4.md)"
WG Summary,"Document, Forum Post, General WG Score, Grade, Subscore",https://dao.joystream.org/#/forum/thread/238,,SUMMARY_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20bd8fc0e6d40c4ad49bd055e5ccd08c52.md),,0.8,"Incorrect Data, On time",No,1141613,,,
Missed runtime upgrade,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,Completed,,,,,,,No,,,,
Moderation Score,"Group Specific Scores, Subscore",,,MODERATION_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Completed,,,Content Score (Council%2011/Council%20Period%2011/Content%20Score%20004119f9e07b44c9a77b2e142972c598.md),,0,,No,,,,Total Breaches of Policy (Council%2011/Council%20Period%2011/Total%20Breaches%20of%20Policy%205e1f7f701d394f1b9ef10e8d96146f3a.md)
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",https://dao.joystream.org/#/forum/thread/232,,PLAN_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20e6d810f18c2c443db74b2e4aa8afb281.md),https://dao.joystream.org/#/proposals/preview/256,0.8,"Late submission, Proposal Approved",No,1105897,,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Forum,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20dff7837737a142b7ac485a34cfb3944d.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20cf7fd270f2224d96a61ab6cb8eb7e159.md)",,0,,No,,,,
No available sources for data object,"Catastrophic Errors, Grade, Spot Check",,,,Distributors,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,Completed,,,,,,,No,,,,
Total $tJOY exceeds tJOY_BUDGET,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,Completed,,,,,,,No,,,,
Storage Report,"Document, Forum Post, Grade, Group Specific Scores, Proposal, Report",https://dao.joystream.org/#/forum/thread/247,https://dao.joystream.org/#/forum/category/13,REPORT_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,Completed,,,Storage Score (Council%2011/Council%20Period%2011/Storage%20Score%20afb78d52beb24d74965d2df84f748f5c.md),,0.868,On time,No,1146810,,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Marketing,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20dff7837737a142b7ac485a34cfb3944d.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20cf7fd270f2224d96a61ab6cb8eb7e159.md)",,0,,No,,,,
Logging does not occur,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,Completed,,,Content Score (Council%2011/Council%20Period%2011/Content%20Score%20004119f9e07b44c9a77b2e142972c598.md),,,,No,,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",https://dao.joystream.org/#/forum/thread/47?post=447,https://dao.joystream.org/#/forum/thread/47,PLAN_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2066dd10fb9208439586139f01f462082d.md),https://dao.joystream.org/#/proposals/preview/256,1,"On time, Proposal Approved",No,1090384,,,
Content Report,"Forum Post, Group Specific Scores",,,REPORT_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,Completed,"Report 06.05.2022 - 12.05.2022 (https://www.notion.so/Report-06-05-2022-12-05-2022-800fb3787c8445b2a221a53f65230dc5?pvs=21) ",,Content Score (Council%2011/Council%20Period%2011/Content%20Score%20004119f9e07b44c9a77b2e142972c598.md),,0.4,"On time, Only done on Notion",No,,,,
