Property,Cars and Vehicles,Comedy,Created By,Date,Deleted,Downloaded,Duration,Education,Entertainment,Film and animation,Games,Howto & Style,Instructions and style,Music,News and politics,Nonprofit organizations and activism,People and blogs,Pets and animals,Science and technology,Sports,Status,Travel and events,Video file size (mb)
05.05.2022,,,Kira_skipper,,1,2,642,,1,1,,,,,,,,,,,,,142282648
06.05.2022,,,Kira_skipper,,16,18,1367,,1,16,,1,,,,,,,,,,,388143267
01.05.2022,,,Kira_skipper,,4,6,350,,,,,4,,2,,,,,,,,,136445109
04.05.2022,,,Kira_skipper,,0,5,2509,,3,,,2,,,,,,,,,,,795662519
TOTAL:,,,Kira_skipper,,36,63,20655,,,,,,,,,,,,,,,,5885940078
02.05.2022,,,Kira_skipper,,0,1,767,1,,,,,,,,,,,,,,,1932193076
03.05.2022,,,Kira_skipper,,15,28,14088,1,4,15,,,,,4,,,3,,,,1,1631633772
07.05.2022,,,Kira_skipper,,0,3,1282,2,1,,,,,,,,,,,,,,859579687
