Property,Downloaded,Deleted,Duration,Video file size (mb),Cars and Vehicles,Comedy,Education,Entertainment,Howto & Style,Film and animation,Games,Music,News and politics,People and blogs,Pets and animals,Instructions and style,Science and technology,Sports,Travel and events,Nonprofit organizations and activism,Created By,Date,Status
01.05.2022,6,4,350,136445109,,,,,4,,,2,,,,,,,,,Kira_skipper,,
02.05.2022,1,0,767,1932193076,,,1,,,,,,,,,,,,,,Kira_skipper,,
03.05.2022,28,15,14088,1631633772,,,1,4,,15,,,4,,3,,,,1,,Kira_skipper,,
04.05.2022,5,0,2509,795662519,,,,3,2,,,,,,,,,,,,Kira_skipper,,
05.05.2022,2,1,642,142282648,,,,1,,1,,,,,,,,,,,Kira_skipper,,
06.05.2022,18,16,1367,388143267,,,,1,1,16,,,,,,,,,,,Kira_skipper,,
07.05.2022,3,0,1282,859579687,,,2,1,,,,,,,,,,,,,Kira_skipper,,
TOTAL:,63,36,20655,5885940078,,,,,,,,,,,,,,,,,Kira_skipper,,
