Metric,Description,Score,Status
"Council Meeting ",Midterm & Handover Meeting,,
Communication with Council and Leads,Responding to requests <24 hours,,
Daily DAO Standups,Attendance is taken by HR,,
"Working Group Report ",Submitted before the end of term,,
Working Group Plan,Submitted before the end of term,,
