Task name,Assignee,Due,GitHub Pull Requests,Governance Status,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID,URL
johan speak video,,,,Not started,,,YPP promotion on popular YouTube channels (YPP%20promotion%20on%20popular%20YouTube%20channels%20ff57ce800b014579ae2e97e22c1dcb10.md),,Done,,,,GEN-53,
Term 33,,,,Not started,,,YPP promotion on popular YouTube channels (YPP%20promotion%20on%20popular%20YouTube%20channels%20ff57ce800b014579ae2e97e22c1dcb10.md),,In progress,,,,GEN-160,
