Name,"Value, k tJoy",Negative,Positive,Progress
Publish on Forum according to deadline,10,No,Yes,Completed!
4 Points/Lines should be made,30,Yes,No,Completed!
5 Points/Lines should be made,40,No,Yes,Completed!
