Term #,Date,Last Block Hash,Start Block Hash
3,,0x536195dc54e63d189a76513c53b6e9501b7de73af9181b770ec89dbe9a515ab7,0x2a6964980e9203b5d56173449bae3476b3315fddcf9354fc994d673cea69ff26
4,,0x065b85d3e77a58043c058f70700dd0c8b453d7221fe3fe64fb2972f72a63dc91,0x536195dc54e63d189a76513c53b6e9501b7de73af9181b770ec89dbe9a515ab7
2,,0x2a6964980e9203b5d56173449bae3476b3315fddcf9354fc994d673cea69ff26,0x1016559885b6a8ba0416e3c0635cf48c9c7060f0be506fa2b028693e17c649c4
6,,0x33a186c3ad4ae0617549f03609cb57fe3062d7729987e35ce278c8349415637a,0xe2b7d464fa29470e0197822c65001a5da7e0942ff4557b325a3c86d2a04e6482
11,,0xbdd8dee4663db9c98eb1b3242561fb9952daf2aa77b2a9fe9a315e3f047167be,0xa0cba7c304e93007103fc698c695a3fde593d81c1da8ef2f1a7b50232f7094f6
5,,0xe2b7d464fa29470e0197822c65001a5da7e0942ff4557b325a3c86d2a04e6482,0x065b85d3e77a58043c058f70700dd0c8b453d7221fe3fe64fb2972f72a63dc91
,,,
13,,,
9,,0x30a91c467b0278a68881f37d36e52df56c839de11dff991f606e95e548b46688,0x2d8121a193a6bc3a98eb6e927343f65c6863421d0f6e49435e4004b1e53ed6fc
7,,0xc195446811a423675929bd034d7086030005605cef8576c473154c8189cc3eed,0x33a186c3ad4ae0617549f03609cb57fe3062d7729987e35ce278c8349415637a
12,,0x743dfac06692c45704f97ce7601b104b9bf87de668589cad6ccbd949b1193537,0xbdd8dee4663db9c98eb1b3242561fb9952daf2aa77b2a9fe9a315e3f047167be
8,,0x2d8121a193a6bc3a98eb6e927343f65c6863421d0f6e49435e4004b1e53ed6fc,0xc195446811a423675929bd034d7086030005605cef8576c473154c8189cc3eed
10,,0xa0cba7c304e93007103fc698c695a3fde593d81c1da8ef2f1a7b50232f7094f6,0x30a91c467b0278a68881f37d36e52df56c839de11dff991f606e95e548b46688
