id,objects_num,total_size bytes,average_size bytes,Property
2001,2,171367316,85683658,
2075,16,70302545,4393909,
2092,8,11495964376,1436995547,
2213,26,90875036,3495193,
2216,2,7335023,3667511,
2217,2,280041154,140020577,
2222,4,26449796,6612449,
2239,6,11867783,1977963,
2298,2,1068062869,534031434,
2327,6,6400556,1066759,
2351,6,12033981,2005663,
2604,83,20814511959,250777252,
2639,14,368101562,26292968,
2650,8,7387518,923439,
2652,14,350346186,25024727,
2692,6,185478817,30913136,
2699,4,37179906,9294976,
2700,2,48354,24177,
2701,8,3236618,404577,
2703,4,21014614,5253653,
2705,13,50811523,3908578,
2706,21,80377260,3827488,
