workerId,worker_total
storageWorkingGroup-5,605640
storageWorkingGroup-2,605640
storageWorkingGroup-10,605640
storageWorkingGroup-1,100940
storageWorkingGroup-9,605640
storageWorkingGroup-18,1009400
storageWorkingGroup-15,605640
storageWorkingGroup-11,605640
storageWorkingGroup-3,605640
storageWorkingGroup-8,605640
storageWorkingGroup-16,2119740
storageWorkingGroup-4,605640
storageWorkingGroup-14,605640
storageWorkingGroup-13,605640
