id,dataObjectsSize,dataObjectsSizeLimit,dataObjectsCount,bags,Utilization,"dataObjectsSize, GB"
13,13226270,1500000000000,2,1,8.81751e-06,0.0123059
6,0,2000000000000,0,0,0,0
9,0,1000000000000,0,0,0,0
15,0,1500000000000,0,0,0,0
17,1418438793,1500000000000,54,8,0.000945626,1.31974
16,198041640,1500000000000,46,3,0.000132028,0.184261
10,13226270,1500000000000,2,1,8.81751e-06,0.0123059
14,993591447663,1500000000000,15961,701,0.662394,924.451
11,13226270,1500000000000,2,1,8.81751e-06,0.0123059
4,0,2000000000000,0,0,0,0
12,0,1500000000000,0,0,0,0
2,994301333399,1400000000000,15901,697,0.710215,925.112
3,994301333399,1400000000000,15901,697,0.710215,925.112
1,0,2000000000000,0,0,0,0
0,264524788,2000000000000,40,1,0.000132262,0.246118
