Utilization,bags,dataObjectsCount,dataObjectsSize,"dataObjectsSize, GB",dataObjectsSizeLimit,id
0.000132028,3,46,198041640,0.184261,1500000000000,16
8.81751e-06,1,2,13226270,0.0123059,1500000000000,13
8.81751e-06,1,2,13226270,0.0123059,1500000000000,11
0.710215,697,15901,994301333399,925.112,1400000000000,3
0,0,0,0,0,1000000000000,9
0,0,0,0,0,2000000000000,4
0.000132262,1,40,264524788,0.246118,2000000000000,0
0,0,0,0,0,1500000000000,15
0,0,0,0,0,1500000000000,12
0.000945626,8,54,1418438793,1.31974,1500000000000,17
0.662394,701,15961,993591447663,924.451,1500000000000,14
0,0,0,0,0,2000000000000,1
8.81751e-06,1,2,13226270,0.0123059,1500000000000,10
0,0,0,0,0,2000000000000,6
0.710215,697,15901,994301333399,925.112,1400000000000,2
