Property,average_size bytes,id,objects_num,total_size bytes
,140020577,2217,2,280041154
,1436995547,2092,8,11495964376
,24177,2700,2,48354
,1066759,2327,6,6400556
,250777252,2604,83,20814511959
,3495193,2213,26,90875036
,6612449,2222,4,26449796
,30913136,2692,6,185478817
,4393909,2075,16,70302545
,9294976,2699,4,37179906
,5253653,2703,4,21014614
,85683658,2001,2,171367316
,26292968,2639,14,368101562
,2005663,2351,6,12033981
,25024727,2652,14,350346186
,534031434,2298,2,1068062869
,923439,2650,8,7387518
,3667511,2216,2,7335023
,3827488,2706,21,80377260
,3908578,2705,13,50811523
,404577,2701,8,3236618
,1977963,2239,6,11867783
