Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Proposal Required?,Reports Gathered,Score,Score Notes,Score Status,Score Type,Scoring Weights,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Upgrading non-Jsgesnesis runtime,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,Council,4,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,1,1,0,0,,,,,1,,2,4,,,No,0,,Ready for review,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Member Faucet Empty,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,Council,4,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,1,1,0,0,,,,,1,,2,4,,,No,0,,Ready for review,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Pioneer Development,"Grade, Spot Check, Subscore",4,2,,,,3,,,,,1,PIONEER_DEVELOPMENT_SCORE,Builders,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,1,1,0,0,,,,Builder Score (Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.md),1,,2,4,,,No,0.5,,Calculation,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Incorrect Reporting,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,Storage,4,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,1,1,0,0,,,,,1,,2,4,,,No,,,Not Completed,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
General WG Score,Composite Grade,4,2,,,,3,,,,,1,GENERAL_WG_SCORE,Forum,4,,1,1,0,0,,,,Forum Score (Council%207/Council%20Period%207/Forum%20Score%2078bf7c7d83c745689ed17c18cbd1df3d.md),1,,2,4,,,No,0.733,,Calculation,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,"WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%206556f06829a7459a959e679eeada6e2d.md), WG Summary (Council%207/Council%20Period%207/WG%20Summary%20bc3095fc854d4184b9156237f6178715.md), WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%2047591fdf0860437b961b67dc0f0f662f.md)",,1
Forum Report,"Document, Forum Post, Grade, Subscore",4,2,"May 15, 2022 5:51 AM",752400,1652590278000,3,"May 15, 2022 11:00 AM (GMT+1)",https://dao.joystream.org/#/forum/thread/110,,,1,REPORT_SCORE,Forum,4,,1,1,0,0,,,,Forum Score (Council%207/Council%20Period%207/Forum%20Score%2078bf7c7d83c745689ed17c18cbd1df3d.md),1,,2,4,,,Yes,0.8,"Forum post did not include markdown, Incomplete (Did not fulfill all requirements), On time",Ready for review,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,754046,1652600154000,"May 15, 2022 11:01 AM (GMT+1)",,,1
Moderation Score,"Grade, Spot Check",4,2,,,,3,,,,,1,MODERATION_SCORE,Forum,4,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,1,1,0,0,,,,Forum Score (Council%207/Council%20Period%207/Forum%20Score%2078bf7c7d83c745689ed17c18cbd1df3d.md),1,,2,4,,,No,1,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Distributor Score,Composite Grade,4,2,,,,3,,,,,1,DISTRIBUTOR_SCORE,Distributors,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,1,1,0,0,,,,Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),1,,2,4,,,No,0.35,,Calculation,Main Score,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,"Distributors Report (Council%207/Council%20Period%207/Distributors%20Report%20c25de10dae2444388d84a45abf23ea9b.md), General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%203a5e8ade60d846f48c9f99feaed17f56.md), Thumbnails (Council%207/Council%20Period%207/Thumbnails%20029b932264d24c5589580eb37b5c3824.md), Upgrade Score (Council%207/Council%20Period%207/Upgrade%20Score%20280d8d8c8c14475e8c5599ad85378696.md)",,1
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,Storage,4,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,1,1,0,0,,,,,1,,2,4,,,No,,,Not Completed,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,Content,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,1,1,0,0,,,,Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md),1,,2,4,,,No,,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Opportunities,"Grade, Spot Check, Subscore",4,2,,,,3,,,,,1,WORKER_OPPORTUNITIES_SCORE,Distributors,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,1,1,0,0,,,2000%,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%203a5e8ade60d846f48c9f99feaed17f56.md),1,,2,4,,,No,0.25,,Calculation,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
HR Report,,4,2,,,,3,,https://dao.joystream.org/#/forum/thread/108,,,1,REPORT_SCORE,HR,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,1,1,0,0,"REPORT_SCORE (https://www.notion.so/REPORT_SCORE-b2a2a09e74d34b8e8dec01a4f74652c4?pvs=21) ",,,HR Score (Council%207/Council%20Period%207/HR%20Score%20d203f1ecbf2549489aac1d675ced3ea2.md),1,,2,4,,,No,0.9,Forum post did not include markdown,Data input - grading req,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),Yes,3,,,"May 15, 2022 10:54 PM (GMT+1)",,,1
